model,model_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability,weighting
xlm-r,XLM-R,ASJP,Individual,performance_loss_pct,39.96042369444213,38.41507864234139,41.519521596154235,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,ASJP,Individual,raw_oracle_gap_points,11.49658619522133,10.949474550550072,12.071706683027582,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-Equal,Composite,performance_loss_pct,25.899093617566482,24.568575415683405,27.27444360613791,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-Equal,Composite,raw_oracle_gap_points,8.422475065437814,7.881924105211217,8.991703774397525,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-RRF,Composite,performance_loss_pct,28.177584801101446,26.793824572432033,29.569935646946043,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-RRF,Composite,raw_oracle_gap_points,9.026097157130282,8.480048850831775,9.58991765668565,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Genetic,Individual,performance_loss_pct,44.58623060593846,43.061278124061516,46.134246444591206,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Genetic,Individual,raw_oracle_gap_points,12.443632140319963,11.943622154796339,12.959529332665506,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Geographic,Individual,performance_loss_pct,33.37814338725054,31.931377843185327,34.82651203498902,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Geographic,Individual,raw_oracle_gap_points,10.980487142859989,10.343198869960082,11.652078995549422,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,LightGBM,Trained,performance_loss_pct,35.09734030777138,33.58631418671471,36.64319376247355,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,LightGBM,Trained,raw_oracle_gap_points,9.933840939656694,9.432003035972105,10.45118254422309,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,MLP,Trained,performance_loss_pct,30.07964502392892,28.667895289415863,31.547755851515035,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,MLP,Trained,raw_oracle_gap_points,9.1036882435834,8.582934838775227,9.64849815751527,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Script,Individual,performance_loss_pct,44.94869893143826,43.50851263002692,46.3851306211508,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Script,Individual,raw_oracle_gap_points,13.831724280358058,13.247980524703703,14.435250884306612,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Typological,Individual,performance_loss_pct,36.14721806679043,34.668882453736856,37.648416296656,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Typological,Individual,raw_oracle_gap_points,10.958302313632323,10.415596917857581,11.509291002404895,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Wikipedia size,Individual,performance_loss_pct,47.80433719341731,46.392592405447175,49.215903695966546,1440,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Wikipedia size,Individual,raw_oracle_gap_points,15.199462162185046,14.587120026317276,15.831937180825685,1440,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
