dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Wikipedia size,performance_loss_pct,3.2273035508000305,-3.3148061667371045,11.036900071782057,0.39658017099145043,19,PL (%),All methods within held-out task,method_a minus method_b,Typological,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-2.3059762784501805,-13.275253577349085,7.096783390476518,0.6916654167291636,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-Equal,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,2.673642786946878,-7.6966576210404005,10.728018217299459,0.5234738263086846,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-RRF,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,3.369681152312132,-1.5617415687209133,9.629778380470132,0.23498825058747064,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Genetic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,5.394239008864607,-2.8274466098610618,13.473675070804767,0.1934903254837258,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,6.655929794598315,-0.6686650201026119,14.295982950709377,0.07779611019449027,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,6.276336368474519,1.3248662296001863,12.106204733367154,0.006299685015749213,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,MLP,0.247987600619969,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,-5.077034438367642,-17.70794460753599,7.008252814039157,0.42697865106744665,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-5.3587733836352465,-17.057382240250956,5.0110241972143665,0.34338283085845706,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-9.567284378412795,-21.46928586286034,1.605007085990879,0.09339533023348832,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,4.979619065397058,0.7014207007836506,10.508982499033172,0.006199690015499225,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Composite-RRF,0.247987600619969,scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,5.675657430762312,-4.141470588824595,16.969806622870852,0.2912854357282136,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Genetic,1.0,scale-free; suitable for cross-task aggregation
