dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,27.879051075105767,23.235964157050084,32.68204826889269,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,14.756310688952832,12.200570828633513,17.452521440185116,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,28.926736089134323,24.198192150948334,33.88114007674018,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,15.400443070042034,12.8226150864449,18.186795371798905,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,23.85584549052685,19.794057992955803,28.15456776983755,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,12.19453439613044,10.233310711359115,14.340683678611207,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,31.395053426469747,26.57103366638545,36.36045982866419,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,17.736680575958918,14.80543364554972,20.826630135667653,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,26.451393414461766,22.016665903614424,31.12148568531641,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,13.68083490362461,11.387347381052653,16.11554314975084,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,25.667742014793042,21.32397031321026,30.216343224501866,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,13.500272120295172,11.185772480425776,15.999198681782673,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,26.94486762347889,22.895193120171644,31.203975452053125,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,17.225103861709357,14.230592779681201,20.444489584915424,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,27.622527307132998,23.214681413576113,32.25623139856258,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,15.175807533688417,12.687222123543448,17.87715918482869,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,34.493927442122214,29.878000550296637,39.245828580824565,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,20.483027306400842,17.526830275760062,23.587388391506668,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,55.61386762035412,53.90367624104566,57.3018114639169,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,13.39935125206031,12.888302214201456,13.920952609475734,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,34.67913339702634,33.12716516741998,36.23053675632789,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,9.030177033699488,8.456275907315124,9.63486041631181,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,35.85514089370435,34.24483447854544,37.4760752495323,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,9.255810746990637,8.690884161794754,9.859504832758187,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,58.41161433496209,56.85836347187203,59.921544820530386,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,13.689543294298442,13.243293631297052,14.145599537529389,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,48.3084283319098,46.45644355395719,50.13513137657857,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,12.094877187914102,11.482242513326419,12.730797010291495,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,51.73556341829786,50.14038098584761,53.30627702816052,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,12.856095556138978,12.311555208647835,13.434180855699564,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,43.40551193084434,41.70577839418379,45.12580089550423,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,10.995595954203159,10.39427978304677,11.618903126961344,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,49.925314466613194,48.50435536278117,51.35430092218831,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,12.185211005505646,11.687357580854687,12.708115969244787,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,54.29497977052669,52.84480776855669,55.74843667829915,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,13.649722541532531,13.082789946759695,14.257045739313323,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,53.74405972329548,52.37080800785143,55.05147861636896,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,13.042877681970905,12.578323157042647,13.532306873872026,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,55.04568380436682,53.31406050367034,56.767408410489274,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,11.842425192965493,11.414981998068297,12.269595507313744,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,29.857930063435266,28.038788220092457,31.68498294952367,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,6.664342057596124,6.221734193729286,7.104394634698705,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,33.69518427478594,31.818115911013116,35.54230873221418,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,7.471161549497917,7.023001435857129,7.924783311480407,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,63.08822643773085,61.71516628629443,64.40663082421966,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,13.47413845881007,13.135413178874124,13.806884559421439,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
