method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources,dataset_model,task,model,model_name,metric,metric_name,method_id,method_type,method_group,target_id,performance_loss_pct,raw_oracle_gap,raw_oracle_gap_points,actual_best_performance_points,predicted_performance_points
Genetic,masakhaner_mt5::kin,kin,lrl,sna,lrl,hau,lrl,0.7624678749371749,0.8021357995781916,0.0494528790036254,0.8596499700727654,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8021357995781916,0.0,"swa,tsn,pcm,nya,sna,zul,yor,xho,wol,fon,ewe,hau,bam,bbj,luo,mos,ibo,lug",10,0.5555555555555556,1.0,0.0,0.7814561749345759,0.0257807027868476,"swa,tsn,nya,sna,zul,yor,xho,bbj,ibo,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::kin,4.94528790036254,0.03966792464101665,3.966792464101665,80.21357995781916,76.24678749371749
Genetic,masakhaner_mt5::lug,lug,lrl,kin,lrl,kin,lrl,0.7750771193651876,0.7750771193651876,0.0,0.8275878722119872,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,fon,ewe,hau,bbj,bam,luo,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,yor,zul,xho,bbj,ibo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::lug,0.0,0.0,0.0,77.50771193651876,77.50771193651876
Genetic,masakhaner_mt5::luo,luo,lrl,hau,lrl,kin,lrl,0.6428147470895663,0.6574446168578308,0.0222526269029109,0.6497275923987381,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.6574446168578308,0.0,"swa,sna,tsn,nya,pcm,yor,zul,wol,xho,hau,fon,bam,ewe,bbj,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.6428147470895663,0.0222526269029109,"sna,tsn,nya,yor,wol,hau,bam,ewe,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::luo,2.22526269029109,0.014629869768264525,1.4629869768264525,65.74446168578308,64.28147470895664
Genetic,masakhaner_mt5::mos,mos,lrl,ibo,lrl,wol,lrl,0.7853488743657586,0.8155419709860664,0.0370221247887481,0.2861482118797054,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8155419709860664,0.0,"swa,sna,tsn,nya,pcm,yor,xho,zul,wol,fon,hau,bam,ewe,bbj,luo,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.8155419709860664,0.0,"swa,sna,tsn,yor,xho,wol,hau,ewe,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::mos,3.70221247887481,0.03019309662030778,3.019309662030778,81.55419709860664,78.53488743657586
Genetic,masakhaner_mt5::nya,nya,lrl,sna,lrl,swa,lrl,0.7883608654442746,0.8366831239437063,0.0577545514144765,0.4906224375284964,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8366831239437063,0.0,"tsn,swa,pcm,sna,yor,xho,zul,wol,fon,ewe,bam,bbj,hau,luo,lug,mos,kin,ibo",10,0.5555555555555556,1.0,1.0,0.8366831239437063,0.0,"tsn,swa,sna,yor,xho,zul,bbj,lug,kin,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::nya,5.77545514144765,0.048322258499431614,4.832225849943161,83.66831239437063,78.83608654442746
Genetic,masakhaner_mt5::pcm,pcm,lrl,ibo,lrl,kin,lrl,0.817048321690749,0.8401349560976066,0.02747967363969,0.6442794403735018,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8401349560976066,0.0,"swa,tsn,sna,yor,zul,xho,wol,nya,hau,fon,bam,bbj,ewe,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,0.0,0.8322786498633284,0.0093512431273784,"tsn,sna,yor,wol,nya,hau,bam,bbj,ewe,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::pcm,2.747967363969,0.023086634406857542,2.3086634406857542,84.01349560976065,81.7048321690749
Genetic,masakhaner_mt5::sna,sna,lrl,tsn,lrl,nya,lrl,0.8039881794610885,0.8425038788629909,0.0457157532068359,0.5680536061678237,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8425038788629909,0.0,"bam,swa,tsn,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8425038788629909,0.0,"swa,tsn,nya,yor,zul,xho,bbj,lug,ibo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::sna,4.57157532068359,0.03851569940190247,3.851569940190247,84.2503878862991,80.39881794610885
Genetic,masakhaner_mt5::swa,swa,lrl,kin,lrl,nya,lrl,0.7575865235238083,0.8105279224840921,0.0653171809282398,0.4585603396677181,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8105279224840921,0.0,"sna,tsn,nya,pcm,xho,yor,zul,wol,fon,ewe,hau,bam,bbj,mos,luo,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.8105279224840921,0.0,"sna,tsn,nya,xho,yor,zul,bbj,ibo,lug,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::swa,6.531718092823981,0.052941398960283825,5.2941398960283825,81.0527922484092,75.75865235238084
Genetic,masakhaner_mt5::tsn,tsn,lrl,xho,lrl,swa,lrl,0.7633437989274648,0.7972090877628663,0.0424798078135742,0.3944361439461618,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7972090877628663,0.0,"sna,swa,nya,pcm,xho,zul,yor,wol,mos,fon,hau,bam,ewe,bbj,luo,lug,kin,ibo",10,0.5555555555555556,1.0,1.0,0.7972090877628663,0.0,"sna,swa,nya,xho,zul,yor,bbj,lug,kin,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::tsn,4.247980781357421,0.03386528883540141,3.386528883540141,79.72090877628662,76.33437989274648
Genetic,masakhaner_mt5::wol,wol,lrl,ibo,lrl,fon,lrl,0.7159784252678257,0.7345725591763003,0.0253128621212378,0.3557205596264981,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7345725591763003,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,ewe,fon,hau,bbj,bam,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7231750891078579,0.0155157852360054,"swa,tsn,nya,sna,yor,xho,ewe,hau,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::wol,2.53128621212378,0.01859413390847453,1.859413390847453,73.45725591763002,71.59784252678257
