task_lang,transfer_lang,bleu,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
hun,slk,4.42295498497415,25.624727,0.1616240338476992,0.017592928205430024,0.0,0.478066140709946,0.5440710729417807
zho,slk,4.411882299809387,24.546679,0.1495414541304595,0.3406126178237031,0.658,0.49577986760507287,0.8295855448251591
lit,slk,5.415872716572036,20.864367,0.1642632791233456,0.0469831043161103,0.0,0.4453814664948,0.12540970141664776
hrv,nld,2.7928996200441616,25.546099,0.08983925084808675,0.05645201764288219,0.0,0.458798587613411,0.9947684680723621
tam,nld,2.8685605154506173,22.367968,0.13734088943511924,0.35776616779582315,0.6022,0.489019160698244,0.9195712273936739
pol,nld,2.894521121425801,22.407436,0.10755152715214111,0.05243684129751685,0.0,0.47503821019289555,0.24046294551542013
tur,msa,3.334184982882929,25.980803,0.10292025475819944,0.43771247326829027,0.658,0.5089367734861378,0.33129195837450875
glg,msa,3.064368721355914,30.773874,0.10655288329390367,0.5974291233611679,0.658,0.4913127472218025,0.47578873363212937
kor,msa,3.063714075541942,25.594645,0.10990310455782826,0.21941757477690274,0.6244,0.5033192107219886,0.400475014592903
sin,msa,2.972608993411558,28.302814,0.10920308828797232,0.1747105260219298,0.6082,0.48115096439217936,0.9437907317727485
kur,msa,2.9021619276815467,24.211555,0.09808260772107891,0.4232412065984951,0.5765,0.4580993338392771,1.0
hrv,msa,2.72702396733602,31.001654,0.08352385217654779,0.5114017159233553,0.658,0.47994112287990964,0.973418254309647
hye,msa,2.725650693344548,24.051752,0.10365782257877465,0.40048914225472876,0.6755,0.496180137119459,0.25437440159851255
fas,msa,2.657503251493331,24.413305,0.08800027382487408,0.3468848438111013,0.0,0.4886253953168195,1.0
slv,msa,2.653053655169335,25.961271,0.08539634336938573,0.5189834491025406,0.658,0.48623685581630893,0.5489359438670496
hin,msa,2.600088894125847,27.42123,0.128544248296533,0.20705301521516448,0.5456,0.48189769013863576,0.6147751398004635
eus,msa,2.57576514770135,25.429285,0.1166805066072405,0.5922454269384537,0.658,0.4967952194450829,0.08379118841734345
ben,msa,2.536334432747674,26.088062,0.11936586836207475,0.18211539770822793,0.6082,0.4693576698638533,0.5934500765491372
pol,msa,3.3571562330424585,27.889023,0.10567862844583653,0.4991924590765888,0.658,0.4836334396852989,0.7408826966292135
mal,msa,2.5178520306729544,26.280634,0.1252549466237094,0.20771467071374844,0.5456,0.4937215593779685,0.7982317380585658
bos,msa,2.112194680015977,30.999601,0.08306872289218792,0.49716092431415665,0.658,0.4811499242605805,0.7784677221659474
kin,msa,1.9286728539929727,27.47909,0.07674499643634236,0.4550884518555863,0.658,0.4936155124088796,0.9808881550039084
mar,msa,1.7843506929694384,27.826897,0.1336014582579511,0.20715283144338484,0.6244,0.4930695516875374,0.7677045897105008
isl,msa,1.456386530390429,30.642504,0.10242831739881053,0.5754378597752537,0.641,0.48083241091516404,0.8599913968945565
tgk,msa,1.1528645358551437,26.872093,0.07366582618664108,0.2949412505246882,0.5765,0.47628773895594917,0.7320433300493523
aze,msa,0.9333071980917368,24.999582,0.09759064059579081,0.3531371486895964,0.0,0.47513194020190347,1.0
jpn,msa,0.9139634460817958,22.911467,0.11810717561123207,0.24156831346562588,0.5922,0.47102781742367866,0.7064151788896924
amh,msa,0.5259542876570157,27.185385,0.12692429811934325,0.40023347604678117,0.5922,0.4789884290293235,0.9642786111072567
urd,msa,0.3625006932859333,28.15088,0.08969006197907503,0.2507416371901005,0.5152,0.4883969816267036,0.4626134939246349
xho,msa,2.312692444480981,27.30525,0.0864744033251087,0.4895511813962177,0.658,0.49155848108972283,0.9946970643059005
kat,msa,0.2579546576279412,24.583105,0.11078051435558223,0.399519146398482,0.6936,0.48113916231524073,0.5716486047705607
fin,msa,3.367767707032908,27.064613,0.07954141590821495,0.4778180236799224,0.658,0.5266561979811523,0.28326962794506194
swe,msa,3.7666061669358353,27.025791,0.11162577554784003,0.49745614330908444,0.641,0.4887624787939462,0.834720719825395
nld,msa,5.538468958028902,25.671883,0.10440819992907602,0.549104016228071,0.658,0.4854561429391445,0.8031908066317655
sme,msa,5.518466127448013,27.095608,0.08241583083988735,0.5179825389059273,0.658,0.48745728859623816,0.9817230262579729
spa,msa,5.402179444483615,24.841913,0.08249206390551567,0.7815308771723614,0.658,0.4945624664876937,0.7902147571882892
ita,msa,5.178302330068089,26.320261,0.10193301614860362,0.5337864000735988,0.658,0.4782296437406816,0.7765582586507054
mkd,msa,5.14736479832478,25.937038,0.06749773324275343,0.47680884094697307,0.7125,0.474869005807407,0.6415765884524123
fra,msa,5.058180180565095,26.555944,0.1123873290529136,0.5617857185772611,0.658,0.4936617408079115,0.8404152726749325
bul,msa,4.952231093165488,25.68292,0.08141473209813488,0.47464239670143243,0.658,0.4913331891292946,0.29294499100374194
lit,msa,4.944703462561929,26.233221,0.11938216717390548,0.4852883042936709,0.658,0.4750524486937574,0.4828654816582717
dan,msa,4.889948581007343,26.406591,0.09132498250946841,0.525423571004275,0.641,0.48979781141168416,0.28158981688336315
slk,msa,4.810694949927653,29.951746,0.10096252332005806,0.5030344716062944,0.658,0.4920382463750347,0.40871226312551745
gle,msa,4.702251927501609,26.68039,0.12602392736313806,0.5850080001922401,0.641,0.482287309559229,0.8558216659497412
mon,msa,4.525177958325898,24.849722,0.09665659731945297,0.25168969409509595,0.5765,0.4843251639414389,1.0
ori,msa,4.423539953496206,26.854916,0.0924452433272035,0.2075515966427586,0.0,0.48117414194631053,0.9542532180702217
ara,msa,4.414094630983931,28.048042,0.0890053809146859,0.3881139793175765,0.6244,0.46289916289384864,0.6622147020292803
