task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
lvs,pap,0.7725304531954029,30.236956,0.17982880871804674,0.3430429241296352,0.0,0.5021379658519416,0.9643205260631101
luo,grn,0.3901304271473051,27.831905,0.07268796325049443,0.5336480281652592,0.658,0.48785092956726667,1.0
min,grn,0.7016542057882338,24.612768,0.0610531956047925,0.8232146332819691,0.5765,0.5117951446367118,0.9739443615405823
nso,pap,0.3525248179615511,27.835243,0.1853308041645505,0.5282816082583719,0.0,0.524181699630516,0.4391080617495712
kmr,pap,0.6527083421268104,24.60734,0.2093302552155838,0.4182073560150239,0.0,0.44021247416691234,1.0
tso,grn,0.390981514016075,25.463858,0.07523354982811692,0.4338961084144007,0.658,0.507073664917435,0.8407793080282163
ban,glg,0.6825753073937094,27.468012,0.1000375419438837,0.651774674174221,0.405,0.49921150866116043,0.8553447743415538
fao,glg,0.7042572740051731,30.58585,0.06513013223765796,0.11601212635545241,0.1864,0.4369810227691671,0.9374862134380377
nso,glg,0.3210872025865315,27.831663,0.12633526647447046,0.41100520178696165,0.0,0.5133622284374617,0.9614196850046323
war,glg,0.664146669996395,29.347565,0.08307743891576191,0.6111558790117335,0.0,0.4954207653922372,0.821064032346937
fur,glg,0.6279659652516373,20.997751,0.10086080634693129,0.07527424393437443,0.0,0.32687698940050125,0.9785370803370539
kam,pap,0.3873438197213151,29.100824,0.20918920052319812,0.5223156200207507,0.0,0.5197199507896868,1.0
lim,glg,0.6479041281259718,26.20289,0.1662941557185904,0.07057154721531071,0.0,0.45408903452270966,0.9332818635020074
lmo,glg,0.6174606559041527,20.893995,0.03959203927892185,0.0665710900675243,0.0,0.2816126889979737,0.6523271716592403
kin,pap,0.3248754615986183,28.195013,0.1880804536090267,0.48640450024493037,0.0,0.48958876778681076,0.4064617618586641
umb,pap,0.3394835549258338,28.781574,0.20080291112609083,0.448001376122457,0.0,0.47813404571807133,1.0
hun,glg,0.8369282451936597,26.820433,0.09281531916220909,0.10811745198725294,0.0,0.48871307178694057,0.5957922592978302
ita,glg,0.8631958590518857,21.008865,0.03761456113880224,0.08828738547400695,0.0,0.19915147601991995,0.882869321807844
luo,glg,0.321188060660096,31.192394,0.08669137643501179,0.3040120661501853,0.0,0.4901265668135771,1.0
ron,glg,0.8600410611088739,21.568382,0.06937888631690792,0.1265143237194866,0.0,0.3237898295206151,0.5611890311777061
nld,pap,0.8092285761862368,25.497776,0.17531925716271923,0.2764072306576596,0.0,0.4411973953117408,0.9977674731072678
fij,glg,0.3238828540850841,27.08716,0.09611790982550372,0.861525418333788,0.0,0.49288426169996097,0.9930030440728813
sot,glg,0.3344346368412489,30.09691,0.0969582609941172,0.4121943623734278,0.0,0.4999518795834717,0.993417743856708
ind,glg,0.8976708244850286,28.8927,0.09116737948598908,0.6371311657859792,0.3776,0.4794813386988596,0.6950191529640339
ceb,glg,0.702315762224659,27.013094,0.0945616884801821,0.602387940489361,0.0,0.49959158939413173,0.9629386433192273
lij,pap,0.6522800342942878,20.562098,0.22561058842209714,0.31612488101463593,0.0,0.35744055107518763,0.5711287925155197
mri,grn,0.3607986699291047,25.789621,0.101260809980247,0.5651573805914343,0.658,0.5052754597651352,0.25565695711964
lin,grn,0.4563455860613021,28.9269,0.17346603049016196,0.4536038010601461,0.658,0.5191440104461362,0.19213973799126638
tur,grn,0.7111109712748315,24.069084,0.10617523497609416,0.5939547561189177,0.658,0.48835475963855524,0.9907921617387566
oci,grn,0.7080952460669725,23.555334,0.0930349992152898,0.5033396529683056,0.658,0.49131423685617026,0.9339684370459914
fon,pap,0.2824273401517591,28.531084,0.1857914016034936,0.34651556799054484,0.0,0.49637913724636656,0.36309887869520896
bam,grn,0.3438641164925061,24.78649,0.08728348285129484,0.37548020162238593,0.561,0.5019024037167317,0.8493449781659389
ewe,grn,0.3448745779608314,24.049587,0.10454174164775754,0.36001598479620733,0.658,0.49964484259827374,0.7929123278468256
scn,pap,0.6170197711123775,21.462086,0.15791951458304476,0.3326057522107138,0.0,0.3484788358541542,0.8130431468211617
ace,grn,0.5845529516154288,24.480198,0.0661344160970666,0.8546448027002438,0.5765,0.5091181603288608,0.5417532517509428
zsm,pap,0.8328445424133121,30.753572,0.17161550356313238,0.8061499271353058,0.658,0.462438238304061,1.0
