,task_lang,transfer_lang,accuracy,f1_score,new_gen,new_typ,new_geo,script
35001,tuni1259,tata1255,0.75,0.7216015257116748,23.562462,0.11419733754914851,0.30481775355923424,0.0
35002,sout2649,tata1255,0.7058823529411765,0.6388733419057837,24.278458,0.09037354839761791,0.177805885129555,0.2851
35004,cent1972,tata1255,0.2352941176470588,0.1852453677997458,23.294823,0.0781241948846878,0.2092640841813955,0.0
35005,crim1257,tata1255,0.6911764705882353,0.6553030102767303,16.291754,0.022683406834412834,0.167951651655936,0.3776
35008,nucl1235,tata1255,0.8088235294117647,0.7834558165419123,21.476032,0.07303322226534847,0.16789124994755913,0.4196
35009,czec1258,tata1255,0.803921568627451,0.7786108442168551,23.206287,0.07809961679793354,0.2258875135590125,0.3776
35010,croa1245,tata1255,0.803921568627451,0.7720524888822525,28.281307,0.07279342497116092,0.24410740498461758,0.3776
35011,tigr1271,tata1255,0.4313725490196078,0.3814862277146609,24.745472,0.07099598989410738,0.33267067178706167,0.3661
35012,kamb1297,tata1255,0.4362745098039216,0.4048480038489001,25.415539,0.10942012985525384,0.4036175114323674,0.3776
35013,tson1249,tata1255,0.3529411764705882,0.3404896877322685,24.794172,0.09704315252484053,0.5419214365248834,0.3776
35014,fiji1243,tata1255,0.3627450980392157,0.349975652423646,23.834015,0.10518832178154236,0.5510863623276173,0.3776
35015,cent2194,tata1255,0.142156862745098,0.0797838044993594,25.29538,0.08905020614031789,0.36786154827762324,0.156
35016,viet1252,tata1255,0.8431372549019608,0.8295466088837697,24.060587,0.1416295323440343,0.2608078680797643,0.4973
35017,sind1272,tata1255,0.7058823529411765,0.6541006643051446,23.854488,0.09098448311074636,0.18968991942693633,0.4445
35018,sout2697,tata1255,0.6862745098039216,0.6390212660211828,15.043512,0.04385464468004763,0.19835947902744266,0.0
35019,nucl1417,tata1255,0.392156862745098,0.3378331533291192,22.095245,0.10853569505136473,0.42370758512133,0.3776
35020,panj1256,tata1255,0.7450980392156863,0.7024366348195439,23.836933,0.09271526833713761,0.2185735746055124,0.4065
35021,tumb1250,tata1255,0.3529411764705882,0.3254131593525642,23.07828,0.11856076634095081,0.4731260714860317,0.3776
35022,cent2142,tata1255,0.4117647058823529,0.3926300568536592,25.42918,0.09144065023396308,0.7197046211866609,0.3776
35024,dani1285,tata1255,0.7990196078431373,0.7594069662895754,23.712372,0.09220433941123207,0.22079677394355626,0.4161
35025,nepa1254,tata1255,0.8235294117647058,0.7832663190967729,23.832823,0.06872357548615493,0.1898306986293308,0.3776
35026,egyp1253,tata1255,0.8088235294117647,0.7857382842413404,23.004637,0.10493798050318959,0.2839852135971377,0.2851
35027,astu1245,tata1255,0.7941176470588235,0.7736404507267572,23.894857,0.11856076634095081,0.31539558869236756,0.3776
35028,hait1244,tata1255,0.5147058823529411,0.4545994178166365,26.364178,0.21917910148446673,0.5367897466642025,0.3776
35029,bemb1257,tata1255,0.4558823529411764,0.4139686268360535,23.710245,0.10400648798035861,0.481792346134386,0.3776
35031,zulu1248,tata1255,0.4509803921568627,0.4294932634848257,25.39888,0.1010430768088425,0.5685245100115681,0.3776
35032,halh1238,tata1255,0.7990196078431373,0.7833320828538847,23.212183,0.053047218088856596,0.10415267870267561,0.3776
35033,tata1255,tata1255,0.7205882352941176,0.6775427421452956,0.0004472136,-2.220446049250313e-16,6.541743137675081e-19,0.0
35034,russ1263,tata1255,0.8284313725490197,0.8095679161640954,22.539244,0.08794115153235393,0.03432229998209698,0.5
35035,nyan1308,tata1255,0.4509803921568627,0.4308560108712084,24.239971,0.09801806436249516,0.47516314341078575,0.3776
35036,ewee1241,tata1255,0.3676470588235294,0.2943999570743813,23.6521,0.10822238168944964,0.4552383186011274,0.3776
35037,serb1264,tata1255,0.7892156862745098,0.7361647407588723,28.282658,0.07279342497116092,0.23777765335422832,0.3776
35038,akan1250,tata1255,0.446078431372549,0.4054177127725328,23.3764,0.12097262449948143,0.456171194905058,0.0
35039,kaby1243,tata1255,0.2696078431372549,0.2473471442199204,24.351881,0.11805932646781081,0.3433422199696577,0.156
35040,kiny1244,tata1255,0.3774509803921568,0.3465587184845581,24.484747,0.09365778068275943,0.4228099450404983,0.3776
35041,hind1269,tata1255,0.7745098039215687,0.7587315784885726,24.795147,0.11267859539518998,0.21690339062597833,0.4445
35043,sout2832,tata1255,0.4313725490196078,0.3769615849156436,23.2752,0.10752733833083228,0.3748312379489647,0.2851
35044,slov1268,tata1255,0.803921568627451,0.7860702971540411,23.238987,0.08950623491868193,0.24648592218339496,0.3776
35045,mode1248,tata1255,0.7843137254901961,0.754540956970121,22.337755,0.11070434898507364,0.25066486481114086,0.3776
35046,sici1248,tata1255,0.6323529411764706,0.5748829131962773,23.361755,0.09550700705756932,0.27967589153977795,0.3776
35047,oriy1255,tata1255,0.7450980392156863,0.7143058341215023,24.194721,0.0417751787823446,0.21742899896783052,0.5765
35048,swat1243,tata1255,0.3480392156862745,0.3158996410523901,26.313967,0.07401851634277512,0.5632577025810582,0.3776
35049,norw1259,tata1255,0.8088235294117647,0.7859816465015587,28.166208,0.1109397599337385,0.21138298014958118,0.3776
35050,sund1252,tata1255,0.7401960784313726,0.7048988826299751,21.44379,0.09220311022522887,0.3860475578195487,0.0
35051,indo1316,tata1255,0.8382352941176471,0.8121287183940243,25.659863,0.08020694432127484,0.3731177899943107,0.0
35052,najd1235,tata1255,0.8088235294117647,0.7806793814589916,23.762255,0.12196258796888726,0.2470316092501317,0.2851
35053,stan1290,tata1255,0.8333333333333334,0.8091717143945959,24.022089,0.10428005586338718,0.31531273013840067,0.3776
35054,tami1289,tata1255,0.7794117647058824,0.7396557699681362,23.894323,0.0682060609145162,0.22353376351558849,0.422
35055,friu1240,telu1262,0.6421568627450981,0.632783485784448,21.820415,0.11578630817333269,0.32172086580132964,0.5096
35056,stan1288,telu1262,0.8480392156862745,0.8411572905586718,19.432348,0.1172750730884391,0.6999551190941993,0.5096
35057,ewee1241,telu1262,0.2205882352941176,0.2087738799223392,20.339529,0.1280226827839236,0.4350101358968855,0.5096
35058,kimb1241,telu1262,0.2450980392156862,0.2301185635041821,21.357885,0.15888439109212849,0.39457218413467166,0.5096
35059,kiny1244,telu1262,0.2352941176470588,0.2373208571966336,21.355165,0.12871207175953003,0.30315205378133975,0.5096
35060,tosk1239,telu1262,0.8382352941176471,0.8309373791411504,21.120209,0.123545608903053,0.30191955027453893,0.5096
35061,stan1318,telu1262,0.196078431372549,0.1783585607191879,21.704235,0.1271120786595491,0.18233303023977135,0.409
35062,nucl1310,telu1262,0.7990196078431373,0.7838705236462341,21.400604,0.09087992256171451,0.0888854007218517,0.439
35063,ukra1253,telu1262,0.8627450980392157,0.8592743617258675,21.122324,0.10274401205412909,0.25609149188539915,0.6591
35064,chok1245,telu1262,0.2647058823529412,0.2551838086575224,22.886244,0.15888439109212849,0.3617359542754006,0.5096
35065,kiku1240,telu1262,0.3235294117647059,0.3121682615318469,21.474266,0.13108434023945115,0.26620906764761637,0.5096
35066,twii1234,telu1262,0.2941176470588235,0.3161934891146667,21.796167,0.12417480536795866,0.4365715161933286,0.5096
35067,basq1248,telu1262,0.8235294117647058,0.8182623498754671,19.965755,0.10304741948080576,0.3877899745743755,0.5096
35068,luxe1241,telu1262,0.6029411764705882,0.5861025698247136,20.684713,0.1478701698823368,0.34826026698493223,0.5096
35070,yoru1245,telu1262,0.2794117647058823,0.2496702992651515,19.700762,0.13438662974171256,0.38641890528803785,0.4867
35071,tokp1240,telu1262,0.4705882352941176,0.4376837760172249,25.687384,0.29060426757292457,0.40967894671893024,0.5096
35072,xhos1239,telu1262,0.4901960784313725,0.4696019001908655,21.151659,0.132383262366793,0.41029065518657937,0.5096
35073,vene1258,telu1262,0.7549019607843137,0.7471378598038846,20.775862,0.15888439109212849,0.5369609323078046,0.5096
35074,telu1262,telu1262,0.8235294117647058,0.8074209484663152,0.0004472136,0.0,0.0,0.0
35075,bali1278,telu1262,0.7009803921568627,0.6874566198010899,21.135874,0.15086682549454866,0.2599795473750874,0.5062
35076,bamb1269,telu1262,0.2156862745098039,0.2115689368812073,20.831099,0.12425516224277888,0.4305028950470964,0.5062
35077,cent2050,telu1262,0.3039215686274509,0.2845684160068439,20.745111,0.10005417646843384,0.3831427768681776,0.641
35078,amha1245,telu1262,0.7303921568627451,0.7305691088143478,20.822113,0.11072579110151104,0.22846467052744326,0.4646
35079,moss1236,telu1262,0.2598039215686274,0.25991683176449,22.667936,0.11859608548818457,0.43131277697453707,0.5096
35080,mina1268,telu1262,0.696078431372549,0.6770271416962402,20.542395,0.13891696957926114,0.17442743998805305,0.4867
35081,halh1238,telu1262,0.7892156862745098,0.7812739508220139,20.965057,0.07661663518171935,0.16974724789468848,0.5096
35082,mara1378,telu1262,0.8186274509803921,0.8061853365040623,22.454475,0.07308992534698344,0.0013257548299149054,0.3141
35083,slov1268,telu1262,0.8333333333333334,0.8268454358487581,20.296131,0.11421514813069089,0.3180021519910543,0.5096
35084,dutc1256,telu1262,0.8480392156862745,0.8485476599883153,20.499813,0.13025499489446757,0.35393935207408606,0.5096
35085,sout2807,telu1262,0.2598039215686274,0.2595837581234572,23.227303,0.13244545430783083,0.4090044494731078,0.5096
35087,plat1254,telu1262,0.6372549019607843,0.6182563703360204,21.365377,0.12337260410366913,0.2952101777667182,0.641
35088,mani1292,telu1262,0.1519607843137254,0.1351545664325696,21.429787,0.0817931402221258,0.002102867380120731,0.3548
35089,egyp1253,telu1262,0.8088235294117647,0.8056092041444906,19.545319,0.12045157949129481,0.2499822228628342,0.409
35090,swed1254,telu1262,0.8284313725490197,0.8212335880560984,21.774734,0.12546083836035782,0.31660770155017026,0.5354
35091,kirg1245,telu1262,0.8480392156862745,0.8326577326577327,23.03697,0.06743626358283905,0.11178015163283592,0.4867
35093,tibe1272,telu1262,0.2205882352941176,0.0643060643060643,20.056282,0.08959634707334896,0.1312811007240047,0.4359
