model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,random,sib200,sib200,f1_score,sib200::amh,amh,lrl,lua,lrl,vie,mrl,0.0571428571428571,0.7956311590260697,0.9281792115673229,0.0,0.0,0.0,175,6,2,1096,159,0.009433962264150943,106.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050228408560351094,0.1,0.1,1.0,0.01111111111111111,0.003363715277777778,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::apc,apc,lrl,lmo,lrl,kir,lrl,0.6682510103457167,0.8630487377729603,0.2257088376374968,0.22443468502544733,0.0,0.0,175,6,2,1096,159,0.009615384615384616,104.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22443468502544733,0.3333333333333333,0.1,1.0,0.16666666666666666,0.06201171875,0.0,0.17655989997125687,0.2,0.1,1.0,0.1,0.06201171875,0.0,0.1473834403495789,0.1,0.1,1.0,0.05,0.06201171875,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::arb,arb,lrl,plt,lrl,ilo,lrl,0.2508861095045305,0.4033136238642886,0.37793792557587536,0.0,0.0,0.0,175,6,2,1096,159,0.02127659574468085,47.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ars,ars,lrl,nya,lrl,aeb,lrl,0.0571428571428571,0.8818802920845104,0.9352033857023975,0.0,0.0,0.0,175,6,2,1096,159,0.006993006993006993,143.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ary,ary,lrl,spa,hrl,urd,mrl,0.7839755605346053,0.8416522801155377,0.06852796688558235,0.0,0.0,0.0,175,6,2,1096,159,0.014285714285714285,70.0,0.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14602952259466914,0.2,0.2,1.0,0.0365079365079365,0.05809325263613747,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::arz,arz,mrl,wol,lrl,ars,lrl,0.2740064698166315,0.8517926622740016,0.6783178795117514,0.0,0.0,0.0,175,6,2,1096,159,0.005917159763313609,169.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04754800620245559,0.1,0.1,1.0,0.016666666666666666,0.00244140625,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::asm,asm,lrl,tur,mrl,amh,lrl,0.6472018306770628,0.7220400165911813,0.10364825244373103,0.0,0.0,0.0,175,6,2,1096,159,0.008403361344537815,119.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ast,ast,lrl,gle,lrl,prs,lrl,0.6330606871723177,0.8564911011571356,0.26086717501554796,0.0,0.0,0.0,175,6,2,1096,159,0.005917159763313609,169.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::awa,awa,lrl,tso,lrl,kor,mrl,0.1244800950683303,0.8308724687939675,0.8501814661773349,0.0,0.0,0.0,175,6,2,1096,159,0.08333333333333333,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ayr,ayr,lrl,fra,hrl,ilo,lrl,0.3238549985507314,0.4266255519897695,0.24089169755472714,0.0,0.0,0.0,175,6,2,1096,159,0.030303030303030304,33.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011887001550613898,0.1,0.1,1.0,0.016666666666666666,0.00016276041666666666,0.0
