model,method,held_out_task,performance_col,n_queries,mean_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,lightgbm_lambdarank,opus100,bleu,87,37.5632183908046,6,2,1272,21,47.10986698959062,25.00452626417964,39.08045977011494,54.02298850574713,49.984005407860295,9.241379310344827,38.045977011494244,10.0,59.08045977011495,70.11494252873564,7.011494252873563,70.11494252873564,70.11494252873564,45.95792923850575,39.08045977011494,56.32183908045978,16.896551724137932,89.65517241379311,50.19157088122604,53.13603484475007,54.02298850574713,43.75626200923331,49.885057471264375,24.942528735632187,93.10344827586206,41.52873563218391,54.914549340014354,59.77011494252874,44.18959805482486,38.045977011494244,38.045977011494244,98.85057471264368,27.841589126071888,55.919524758390146,67.81609195402298
mt5,composite_equal,opus100,bleu,87,37.5632183908046,6,2,1272,21,46.81570806689727,25.40428380731163,37.93103448275862,54.02298850574713,49.39692088532502,8.045977011494253,37.35632183908047,10.0,58.27586206896552,66.66666666666666,6.666666666666665,66.66666666666666,66.66666666666666,45.325969827586206,37.93103448275862,52.49042145593871,15.747126436781608,82.75862068965517,48.53128991060026,52.22009915780005,54.02298850574713,43.74351199009589,46.666666666666686,23.333333333333343,90.80459770114942,39.50957854406131,53.84707799371283,60.91954022988506,44.74304809721704,37.35632183908047,37.35632183908047,97.70114942528735,27.560846560846564,54.97465505689016,68.96551724137932
mt5,rrf_equal,opus100,bleu,87,37.5632183908046,6,2,1272,21,45.79629343448469,26.19202833043035,33.33333333333333,49.42528735632184,46.206398214297124,8.64367816091954,37.35632183908047,10.0,56.66666666666668,68.96551724137932,6.89655172413793,68.96551724137932,68.96551724137932,40.82929238505747,33.33333333333333,53.25670498084292,15.97701149425287,88.50574712643679,47.956577266922096,49.06854141767625,49.42528735632184,42.28181747488635,44.82758620689657,22.413793103448285,89.65517241379311,37.992337164750964,50.900225994407236,59.77011494252874,43.67143163451804,37.35632183908047,37.35632183908047,98.85057471264368,27.349069512862616,52.191591459186384,68.96551724137932
mt5,mlp_listnet,opus100,bleu,87,37.5632183908046,6,2,1272,21,47.8997400334264,27.084158034539108,40.229885057471265,50.57471264367817,49.58765514083348,8.218390804597702,36.78160919540229,10.0,56.896551724137936,64.36781609195403,6.436781609195402,64.36781609195403,64.36781609195403,45.599856321839084,40.229885057471265,55.93869731800767,16.7816091954023,85.0574712643678,50.702426564495525,51.976590147563094,50.57471264367817,43.29996058044207,46.43678160919541,23.218390804597703,89.65517241379311,39.81226053639846,53.06208664920773,56.32183908045977,43.90145349992294,36.78160919540229,36.78160919540229,96.55172413793103,27.505610290093056,54.525894632532726,66.66666666666666
mt5,single_new_geo,opus100,bleu,87,37.5632183908046,6,2,1272,21,43.065625596550014,29.572078203485834,29.88505747126437,45.97701149425287,42.37461082049746,10.264367816091953,39.19540229885059,10.0,51.26436781609196,64.36781609195403,6.4367816091954,64.36781609195403,64.36781609195403,36.166487068965516,29.88505747126437,52.490421455938694,15.747126436781608,81.60919540229885,47.062579821200515,44.187880789868224,45.97701149425287,41.79960214410169,48.96551724137932,24.48275862068966,93.10344827586206,39.89272030651341,46.51802978482815,56.32183908045977,42.71782526412986,39.19540229885059,39.19540229885059,98.85057471264368,28.166256157635466,47.792051282470226,64.36781609195403
mt5,single_new_typ,opus100,bleu,87,37.5632183908046,6,2,1272,21,39.773074329935085,33.08740545759166,27.586206896551722,44.827586206896555,39.413905280796676,11.689655172413794,33.103448275862064,10.0,44.02298850574712,50.57471264367817,5.057471264367815,50.57471264367817,50.57471264367817,33.39619252873563,27.586206896551722,47.12643678160919,14.137931034482756,83.9080459770115,38.122605363984675,43.05355501329077,44.827586206896555,36.98861408125652,40.229885057471265,20.114942528735632,88.50574712643679,29.931034482758623,44.21210711215447,48.275862068965516,38.74290015977806,33.103448275862064,33.103448275862064,97.70114942528735,20.715289180806426,45.90854561337062,59.77011494252874
mt5,single_script,opus100,bleu,87,37.5632183908046,6,2,1272,21,26.04796693184105,38.90906362498873,21.839080459770116,29.88505747126437,31.099644006684297,13.574712643678161,26.321839080459775,10.0,32.79213315420212,48.275862068965516,4.827586206896551,48.275862068965516,48.275862068965516,24.400592672413794,21.839080459770116,34.86590038314176,10.459770114942527,68.96551724137932,29.182630906768836,30.078402151250177,29.88505747126437,24.908080613864286,30.344827586206897,15.172413793103448,81.60919540229885,22.371647509578548,32.27350002742966,37.93103448275862,28.405414502157377,26.321839080459775,26.321839080459775,95.40229885057471,15.510080277321656,33.81937438259725,44.827586206896555
mt5,random,opus100,bleu,87,37.5632183908046,6,2,1272,21,12.332838425178577,59.30622788574477,1.1494252873563218,3.4482758620689653,9.055028775712445,19.701149425287355,29.42528735632183,10.0,10.229885057471265,21.839080459770116,2.1839080459770117,21.839080459770116,21.839080459770116,3.43817349137931,1.1494252873563218,22.222222222222214,6.666666666666665,57.47126436781609,14.75095785440613,6.386520122659617,3.4482758620689653,14.1590615877436,23.678160919540222,11.839080459770111,78.16091954022988,12.804597701149426,7.747092741948348,6.896551724137931,22.437411884854114,29.42528735632183,29.42528735632183,97.70114942528735,12.494526546250684,11.962466703877986,33.33333333333333
mt5,single_distals_wiki_size,opus100,bleu,87,37.5632183908046,6,2,1272,21,13.000200285168745,63.49785621121641,4.597701149425287,14.942528735632186,15.075450689536835,17.436781609195403,24.942528735632187,10.0,9.02143522833178,14.942528735632186,1.4942528735632188,14.942528735632186,14.942528735632186,5.56640625,4.597701149425287,23.37164750957854,7.011494252873563,56.32183908045977,14.559386973180075,10.714982525299222,14.942528735632186,16.23099958869473,26.89655172413793,13.448275862068964,80.45977011494253,14.045977011494253,13.662392061557663,22.988505747126435,20.053623027575757,24.942528735632187,24.942528735632187,93.10344827586206,11.291598248494799,16.068481042482148,36.7816091954023
mt5,single_script,sib200,f1_score,185,175.04864864864865,6,2,289,906,5.2061564093043735,13.000970456502973,2.7027027027027026,4.324324324324325,6.3706407064819945,75.88108108108108,8.0,10.0,5.106496204820851,15.675675675675677,1.5675675675675678,15.675675675675677,15.675675675675677,3.932115709459459,2.7027027027027026,12.432432432432433,3.72972972972973,33.513513513513516,8.618618618618617,5.780289538271792,4.324324324324325,5.203671686813536,10.91891891891892,5.45945945945946,45.40540540540541,6.203603603603604,6.631574003546087,7.027027027027027,6.380030196515434,8.0,8.0,55.13513513513514,3.704311454311455,7.3894566361760825,10.81081081081081
mt5,single_new_geo,sib200,f1_score,185,175.04864864864865,6,2,289,906,9.707499322601642,14.735394997913232,3.2432432432432434,5.405405405405405,7.149631332104435,72.26486486486486,10.216216216216216,10.0,10.594594594594597,16.756756756756758,1.6756756756756757,16.756756756756758,16.756756756756758,5.183171452702703,3.2432432432432434,13.333333333333334,3.9999999999999996,35.13513513513514,9.699699699699698,7.730507037124118,5.405405405405405,9.131458835399178,11.675675675675674,5.837837837837837,45.40540540540541,7.009009009009009,8.351698860928819,7.027027027027027,10.375540037617212,10.216216216216216,10.216216216216216,61.62162162162163,4.593093093093093,9.394902953738542,12.432432432432433
mt5,rrf_equal,sib200,f1_score,185,175.04864864864865,6,2,289,906,7.942018534301415,15.22870871065912,3.2432432432432434,6.486486486486487,7.4935951180511715,67.78918918918919,10.972972972972974,10.0,9.405405405405405,14.054054054054054,1.4054054054054057,14.054054054054054,14.054054054054054,5.069679054054054,3.2432432432432434,10.630630630630629,3.189189189189189,27.027027027027028,7.807807807807807,7.268853918019984,6.486486486486487,8.548123172027728,11.243243243243244,5.621621621621622,45.40540540540541,6.057657657657658,8.129656023270377,7.027027027027027,10.212825266525998,10.972972972972974,10.972972972972974,68.10810810810811,4.327434577434578,9.201718111848967,10.81081081081081
mt5,mlp_listnet,sib200,f1_score,185,175.04864864864865,6,2,289,906,8.98187035681314,15.436181863492166,3.783783783783784,5.9459459459459465,7.4673302945960485,71.33513513513513,10.216216216216218,10.0,10.432432432432433,14.594594594594595,1.4594594594594594,14.594594594594595,14.594594594594595,6.109058277027027,3.783783783783784,12.612612612612612,3.783783783783784,31.891891891891895,9.03903903903904,7.823252720875782,5.9459459459459465,8.824972833406065,11.567567567567567,5.783783783783783,44.86486486486487,6.6828828828828835,8.601427095732442,7.567567567567568,10.202612459328119,10.216216216216218,10.216216216216218,63.24324324324324,4.3999356499356495,9.725426965530135,11.351351351351353
mt5,single_distals_asjp,sib200,f1_score,185,175.04864864864865,6,2,289,906,8.509024440790974,15.807374467461113,3.783783783783784,5.405405405405405,7.109376682140206,76.43243243243244,9.675675675675675,10.0,9.918918918918918,12.972972972972974,1.2972972972972974,12.972972972972974,12.972972972972974,6.02195945945946,3.783783783783784,11.71171171171171,3.5135135135135136,30.270270270270274,8.348348348348347,7.6878781361622845,5.405405405405405,8.233893337007444,9.945945945945946,4.972972972972973,40.0,5.9711711711711715,8.443682272163757,7.027027027027027,9.533911848939711,9.675675675675675,9.675675675675675,61.62162162162163,4.044401544401544,9.357521119210306,9.72972972972973
mt5,composite_equal,sib200,f1_score,185,175.04864864864865,6,2,289,906,8.711769495810612,15.891861801232865,2.7027027027027026,5.9459459459459465,7.003940380708618,70.36216216216216,10.162162162162161,10.0,9.297297297297296,12.972972972972974,1.2972972972972974,12.972972972972974,12.972972972972974,4.933488175675675,2.7027027027027026,11.71171171171171,3.5135135135135136,29.72972972972973,8.258258258258259,7.594092257388003,5.9459459459459465,8.445131951307976,10.702702702702704,5.351351351351352,41.08108108108108,6.138738738738738,8.248322003160242,7.027027027027027,9.807121130496055,10.162162162162161,10.162162162162161,62.70270270270271,4.178635778635779,9.278262536476488,11.891891891891893
mt5,lightgbm_lambdarank,sib200,f1_score,185,175.04864864864865,6,2,289,906,8.723888102508766,16.246207628196423,4.324324324324325,5.405405405405405,7.357893289206278,72.90810810810811,10.054054054054056,10.0,10.972972972972974,18.37837837837838,1.8378378378378382,18.37837837837838,18.37837837837838,6.145481418918919,4.324324324324325,12.972972972972974,3.8918918918918917,32.432432432432435,9.999999999999998,7.528762978644253,5.405405405405405,8.221052708277123,10.486486486486486,5.243243243243243,42.7027027027027,6.767567567567568,8.13186924619315,6.486486486486487,9.775388878319573,10.054054054054056,10.054054054054056,65.94594594594595,4.495516945516945,9.25139391021832,9.72972972972973
mt5,single_new_typ,sib200,f1_score,185,175.04864864864865,6,2,289,906,5.21781972433108,17.36471419005596,1.0810810810810811,3.2432432432432434,4.769856869845994,78.88648648648649,8.486486486486486,10.0,5.467867867867867,10.27027027027027,1.027027027027027,10.27027027027027,10.27027027027027,2.4857474662162162,1.0810810810810811,8.648648648648647,2.5945945945945943,23.243243243243246,6.096096096096097,3.9189923776162634,3.2432432432432434,5.391786068504671,8.972972972972974,4.486486486486487,36.75675675675676,4.7981981981981985,4.494267276488244,4.324324324324325,7.2180028732505725,8.486486486486486,8.486486486486486,61.08108108108108,3.178099528099528,5.778460407501562,9.72972972972973
mt5,single_new_gen,sib200,f1_score,185,175.04864864864865,6,2,289,906,7.476352524140846,17.407030485080767,2.7027027027027026,4.864864864864865,5.884062679071039,79.16216216216216,8.64864864864865,10.0,8.64864864864865,14.054054054054054,1.4054054054054055,14.054054054054054,14.054054054054054,4.238809121621621,2.7027027027027026,11.891891891891893,3.567567567567568,29.72972972972973,8.528528528528527,5.628582550598695,4.864864864864865,7.287602725675077,9.945945945945946,4.972972972972973,40.0,5.922522522522523,6.525409294678284,5.9459459459459465,8.244575431792665,8.64864864864865,8.64864864864865,55.67567567567567,3.8449806949806953,7.254667936734083,8.108108108108109
mt5,random,sib200,f1_score,185,175.04864864864865,6,2,289,906,2.039543051949867,17.864876878102397,0.5405405405405406,1.6216216216216217,3.532903483854265,84.12972972972973,6.108108108108108,10.0,2.2162162162162162,3.783783783783784,0.3783783783783784,3.783783783783784,3.783783783783784,1.1196157094594594,0.5405405405405406,3.423423423423423,1.0270270270270272,9.72972972972973,2.162162162162162,1.7065235515972512,1.6216216216216217,2.642383669977323,4.324324324324325,2.1621621621621623,19.45945945945946,1.8864864864864865,2.038329708683598,1.6216216216216217,4.847243259077776,6.108108108108108,6.108108108108108,49.18918918918919,1.6747962247962247,3.4302768148371974,7.027027027027027
mt5,single_distals_wiki_size,sib200,f1_score,185,175.04864864864865,6,2,289,906,3.5920282564872403,18.34471426383832,0.0,0.0,3.099868731024547,73.89189189189189,7.081081081081081,10.0,4.257759784075573,7.027027027027027,0.7027027027027027,7.027027027027027,7.027027027027027,1.5112964527027029,0.0,4.684684684684684,1.4054054054054057,14.054054054054054,3.303303303303303,1.8639146959459458,0.0,4.472088959666195,5.72972972972973,2.864864864864865,24.324324324324326,2.8144144144144145,2.5681329675622893,1.6216216216216217,5.93425820825523,7.081081081081081,7.081081081081081,43.24324324324324,2.3541827541827542,3.6491424457883186,5.9459459459459465
