model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::auc,auc,lrl,ron,mrl,fra,hrl,0.0638888888888888,0.165468509984639,0.613890951850477,0.29392438703752444,0.0,0.0,32,6,2,289,329,0.07142857142857142,14.0,0.4,10.0,0.27142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.29392438703752444,0.0,0.0,0.0,0.0,0.0,0.0,0.31993643196961896,0.4,0.2,1.0,0.13,0.0022909164428710936,0.0,0.41154886344875247,0.4,0.4,1.0,0.17214285714285715,0.09640501304256759,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::auy,auy,lrl,ron,mrl,ben,mrl,0.0527065527065527,0.1467385057471264,0.6408130746718821,0.2475152732947574,0.0,0.0,32,6,2,289,329,0.03333333333333333,30.0,0.4,10.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.2475152732947574,0.3333333333333333,0.1,1.0,0.16666666666666666,0.06201171875,0.0,0.26942015323757385,0.4,0.2,1.0,0.2,0.1712949275970459,0.0,0.3465674639568441,0.4,0.4,1.0,0.2,0.18501331053278136,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::avt,avt,lrl,ron,mrl,nld,mrl,0.1120167189132706,0.2025974025974025,0.44709696433834356,0.23204556871383503,0.0,0.0,32,6,2,289,329,0.16666666666666666,6.0,0.6,10.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.23204556871383503,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0009765625,0.0,0.2525813936602255,0.2,0.1,1.0,0.06666666666666667,0.0009765625,0.0,0.3249069974595414,0.6,0.6,1.0,0.2750793650793651,0.1670324113142871,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::awb,awb,lrl,ron,mrl,fra,hrl,0.0970676558911853,0.1720876399655469,0.4359405712657871,0.35580320536121374,0.0,0.0,32,6,2,289,329,0.07142857142857142,14.0,0.6,10.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.35580320536121374,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0003255208333333333,0.0,0.3872914702790124,0.4,0.2,1.0,0.14666666666666667,0.10003274281819662,0.0,0.49819072943796344,0.6,0.6,1.0,0.28888888888888886,0.1287585986390153,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::azb,azb,lrl,zlm,mrl,tam,mrl,0.57899654545996,0.6447061585702597,0.10192180148553469,0.16575864132912727,0.0,0.0,32,6,2,289,329,0.043478260869565216,23.0,0.4,10.0,0.2,1.0,0.1,1.0,1.0,0.0068359375,0.0,0.16575864132912727,0.6666666666666666,0.2,1.0,0.6666666666666666,0.007320880889892578,0.0,0.13040020587336498,0.4,0.2,1.0,0.4,0.007320880889892578,0.0,0.1810925245912998,0.4,0.4,1.0,0.29,0.03628703448566739,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::aze,aze,lrl,cmn,hrl,pol,mrl,0.6367301329470223,0.6459568461383344,0.014283791938225135,0.457355005234069,0.0,0.0,32,6,2,289,329,0.05263157894736842,19.0,0.5,10.0,0.9,1.0,0.1,1.0,1.0,0.4990234375,0.0,0.457355005234069,0.3333333333333333,0.1,1.0,0.3333333333333333,0.4990234375,0.0,0.4741843849730783,0.4,0.2,1.0,0.3,0.5145566463470459,0.0,0.4612012107779046,0.5,0.5,1.0,0.3196428571428571,0.5152054935759462,0.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::azg,azg,lrl,ron,mrl,spa,hrl,0.1067923727996606,0.1907824825035695,0.44024015518477944,0.2629849778756797,0.0,1.0,32,6,2,289,329,0.3333333333333333,3.0,0.3,10.0,0.24285714285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.2629849778756797,0.3333333333333333,0.1,1.0,0.1111111111111111,0.3330078125,1.0,0.2862589128149222,0.2,0.1,1.0,0.06666666666666667,0.3330078125,1.0,0.36822793045414687,0.3,0.3,1.0,0.10416666666666666,0.33300975783883285,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::azz,azz,lrl,ron,mrl,hun,mrl,0.1874492068833687,0.1939193690571522,0.03336521877748386,0.27071983016614093,0.0,0.0,32,6,2,289,329,0.1,10.0,0.4,10.0,0.25,1.0,0.1,1.0,1.0,0.4990234375,0.0,0.27071983016614093,0.6666666666666666,0.2,1.0,0.5555555555555555,0.5040788650512695,0.0,0.2946782926035964,0.4,0.2,1.0,0.3333333333333333,0.5040788650512695,0.0,0.37905816370279827,0.4,0.4,1.0,0.24416666666666664,0.5526481714247893,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bao,bao,lrl,por,mrl,spa,hrl,0.069047619047619,0.2408552338669727,0.7133231529203353,0.2784546824566021,0.0,1.0,32,6,2,289,329,0.3333333333333333,3.0,0.4,10.0,0.2571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.2784546824566021,0.3333333333333333,0.1,1.0,0.1111111111111111,0.3330078125,1.0,0.3030976723922706,0.4,0.2,1.0,0.16666666666666666,0.3331296443939209,1.0,0.38988839695144967,0.4,0.4,1.0,0.16527777777777777,0.3331318560949512,1.0
mt5,single_script,taxi1500,taxi1500,f1_score,taxi1500::bba,bba,lrl,ron,mrl,swe,mrl,0.066358024691358,0.1632852671585065,0.5936067849468499,0.23978042100429625,0.0,0.0,32,6,2,289,329,0.06666666666666667,15.0,0.5,10.0,0.22142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.23978042100429625,0.6666666666666666,0.2,1.0,0.38888888888888884,0.05522632598876953,0.0,0.2610007734488997,0.4,0.2,1.0,0.2333333333333333,0.05522632598876953,0.0,0.3357372307081928,0.5,0.5,1.0,0.25396825396825395,0.11614787861713802,0.0
