method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon,task_key,model_key,task,model
rrf_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
rrf_equal,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
rrf_equal,lrl,140,41.457142857142856,28.0,22.0,73.0,176.0,23.555194805194805,88.57142857142857,2.698580626068047,50.0,4.240944648399855,28.0,28.0,28.0,9,100.0,0.0,1.3393425657502789,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_asjp,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_asjp,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_asjp,lrl,140,26.835714285714285,28.0,21.0,32.0,176.0,15.247564935064933,89.28571428571429,2.623404143969956,40.0,4.155260166386663,28.0,28.0,28.0,9,100.0,0.0,1.5694543748025325,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_wiki_size,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_wiki_size,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
single_distals_wiki_size,lrl,140,26.571428571428573,23.0,19.0,32.0,176.0,15.097402597402596,87.14285714285714,2.839100277060259,32.857142857142854,3.983890626640375,28.0,28.0,28.0,9,100.0,0.0,2.225801480978025,0.1,0.05,sib200,mt5,SIB-200,mT5
single_new_gen,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
