task,model,method,resource_level,n_folds,mean_trial_complexity,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,mean_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_pool_fraction_pct
Taxi1500,XLM-R,single_new_geo,lrl,730,28.68082191780822,86.84931506849315,1.2516808884918742,146.0,9,100.0,0.0,89.62756849315069
Taxi1500,XLM-R,single_new_typ,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_new_typ,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_new_typ,lrl,730,22.236986301369864,90.95890410958904,1.0621097195843348,146.0,9,100.0,0.0,69.49058219178083
Taxi1500,XLM-R,single_script,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_script,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_script,lrl,730,18.72465753424657,90.82191780821918,1.0693196345056823,146.0,9,100.0,0.0,58.51455479452055
Taxi1500,mT5,composite_equal,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,composite_equal,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,composite_equal,lrl,730,22.534246575342465,90.54794520547944,1.0835242880857143,146.0,9,100.0,0.0,70.4195205479452
Taxi1500,mT5,lightgbm_lambdarank,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,lightgbm_lambdarank,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,lightgbm_lambdarank,lrl,730,10.736986301369862,91.78082191780824,1.0172469637627306,146.0,9,100.0,0.0,33.55308219178082
Taxi1500,mT5,mlp_listnet,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,mlp_listnet,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,mlp_listnet,lrl,730,17.236986301369864,93.28767123287672,0.9267977519523004,146.0,9,100.0,0.0,53.86558219178082
Taxi1500,mT5,rrf_equal,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,rrf_equal,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,rrf_equal,lrl,730,27.327397260273973,91.64383561643837,1.024923266659108,146.0,9,100.0,0.0,85.39811643835617
Taxi1500,mT5,single_distals_asjp,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_distals_asjp,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_distals_asjp,lrl,730,28.735616438356164,92.19178082191782,0.99370696916627,146.0,9,100.0,0.0,89.79880136986301
Taxi1500,mT5,single_distals_wiki_size,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_distals_wiki_size,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_distals_wiki_size,lrl,730,30.947945205479453,92.19178082191782,0.99370696916627,146.0,9,100.0,0.0,96.7123287671233
Taxi1500,mT5,single_new_gen,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_gen,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_gen,lrl,730,23.90958904109589,95.2054794520548,0.7912975119473475,146.0,9,100.0,0.0,74.71746575342466
Taxi1500,mT5,single_new_geo,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_geo,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_geo,lrl,730,28.82054794520548,93.013698630137,0.9441333766270066,146.0,9,100.0,0.0,90.06421232876713
Taxi1500,mT5,single_new_typ,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_typ,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_new_typ,lrl,730,28.0,92.73972602739728,0.9610492516330787,146.0,9,100.0,0.0,87.5
Taxi1500,mT5,single_script,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_script,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,mT5,single_script,lrl,730,17.68082191780822,92.87671232876713,0.9526423723213464,146.0,9,100.0,0.0,55.25256849315069
UD-POS,XLM-R,composite_equal,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,composite_equal,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,composite_equal,lrl,101,60.73267326732673,96.03960396039604,1.9502688716427927,20.0,9,100.0,0.0,83.19544283195442
UD-POS,XLM-R,lightgbm_lambdarank,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,lightgbm_lambdarank,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,lightgbm_lambdarank,lrl,101,47.62376237623762,96.03960396039604,1.9502688716427927,20.0,9,100.0,0.0,65.2380306523803
UD-POS,XLM-R,mlp_listnet,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,mlp_listnet,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,mlp_listnet,lrl,101,44.76237623762376,95.04950495049503,2.169198247545213,20.0,9,100.0,0.0,61.318323613183246
UD-POS,XLM-R,rrf_equal,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,rrf_equal,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,rrf_equal,lrl,101,36.35643564356435,92.07920792079209,2.7006300390071005,20.0,9,100.0,0.0,49.80333649803336
UD-POS,XLM-R,single_distals_asjp,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_distals_asjp,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_distals_asjp,lrl,101,39.42574257425743,89.10891089108911,3.1152738064459946,20.0,9,100.0,0.0,54.00786654007867
UD-POS,XLM-R,single_distals_wiki_size,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_distals_wiki_size,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_distals_wiki_size,lrl,101,43.277227722772274,83.16831683168317,3.741473985681423,20.0,9,100.0,0.0,59.28387359283872
UD-POS,XLM-R,single_new_gen,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_gen,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_gen,lrl,101,42.99009900990099,91.0891089108911,2.849008825730329,20.0,9,100.0,0.0,58.890546588905465
UD-POS,XLM-R,single_new_geo,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_geo,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_geo,lrl,101,37.76237623762376,92.07920792079209,2.7006300390071005,20.0,9,100.0,0.0,51.72928251729283
UD-POS,XLM-R,single_new_typ,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_typ,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_new_typ,lrl,101,46.15841584158416,87.12871287128714,3.3488187178787654,20.0,9,100.0,0.0,63.230706632307054
UD-POS,XLM-R,single_script,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_script,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
UD-POS,XLM-R,single_script,lrl,101,42.55445544554456,88.11881188118812,3.235670225419444,20.0,9,100.0,0.0,58.29377458293775
UD-POS,mT5,composite_equal,hrl,6,73.0,100.0,0.0,1.0,9,0.0,100.0,100.0
UD-POS,mT5,composite_equal,mrl,40,73.0,100.0,0.0,8.0,9,0.0,100.0,100.0
