model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_target_queries,single_distals_asjp,rrf_equal,9.368118854997194e-34,7.208950103736386e-47,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_asjp,lightgbm_lambdarank,0.2244444891770206,0.0006143137899057,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_asjp,mlp_listnet,1.296049248183032e-27,3.0766705994088304e-27,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_wiki_size,composite_equal,6.850175108904953e-80,1.5549412088745794e-76,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_wiki_size,rrf_equal,6.757117099316531e-74,1.660725235513352e-71,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_wiki_size,lightgbm_lambdarank,1.5268710335463265e-19,5.229133812868279e-13,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_wiki_size,mlp_listnet,2.3630253718905358e-49,3.4590308064669013e-38,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,composite_equal,rrf_equal,0.2643991677240105,0.2542166991166609,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,composite_equal,lightgbm_lambdarank,3.6248195861451073e-37,2.031965092953473e-40,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,composite_equal,mlp_listnet,2.285889202050956e-12,6.8064448077817544e-18,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,rrf_equal,lightgbm_lambdarank,1.8969680344861e-31,6.176255689821234e-37,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,rrf_equal,mlp_listnet,5.496985583590702e-08,8.740793880477744e-14,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,lightgbm_lambdarank,mlp_listnet,1.120225816739193e-18,1.808689142932269e-13,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_new_gen,0.5688183349888373,3.2841567004356726e-18,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_new_typ,1.7510337855543609e-25,0.075041364561063,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_new_geo,2.199832255937426e-39,1.0215746754674517e-06,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_script,0.2300537134712047,2.6220943761888758e-23,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_distals_asjp,1.0334973214241808e-06,0.0037182765203107,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,single_distals_wiki_size,1.728606910619592e-11,2.119294328750205e-40,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,composite_equal,9.008724983989397e-64,1.777044652905952e-40,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,rrf_equal,3.34836577924754e-52,5.515697755358556e-27,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,lightgbm_lambdarank,7.66663146266695e-21,0.0023067314071027,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,random,mlp_listnet,1.638707865144921e-38,1.7423597215035473e-18,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
xlm-r,XLM-R,paired_target_queries,single_new_gen,single_new_typ,1.1752415301661562e-22,7.865821886296697e-29,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_pooled_query.csv
