model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_held_out_tasks,rrf_equal,mlp_listnet,0.614726051244297,0.4624788274335907,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,lightgbm_lambdarank,mlp_listnet,0.2252452947060493,0.0985466582835001,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_new_gen,0.0365166631957682,0.9642964594077612,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_new_typ,0.0004051516524519,0.3511773701118634,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_new_geo,0.0022641082475671,0.505829371823457,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_script,0.0364182415005765,0.3365447282774855,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_distals_asjp,0.0660776561773072,0.8171119337375744,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,single_distals_wiki_size,0.6596375639309421,0.0816615190186149,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,composite_equal,0.0018991413210038,0.07077111733462,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,rrf_equal,0.0005478540707915,0.0411479371437272,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
xlm-r,XLM-R,paired_held_out_tasks,random,lightgbm_lambdarank,0.006581975592124,0.0355593289488541,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/pairwise_macro_task.csv
