dataset,task,model,metric,method,method_group,target_resource_level,n_targets,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,large_enough_for_main_ctc
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,lrl,136,42.18382352941177,0.2409441844919786,0.8970588235294118,0.3235294117647059,0.023573404570143126,True
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,mrl,42,41.166666666666664,0.23523809523809522,0.9761904761904762,0.47619047619047616,0.009068763975447055,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,hrl,7,41.0,0.2342857142857143,1.0,0.5714285714285714,0.0061512768850964005,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,lrl,136,41.0735294117647,0.2346170741023682,0.9117647058823529,0.25,0.02184351749484914,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,mrl,42,41.07142857142857,0.23469387755102042,1.0,0.35714285714285715,0.00929737149254796,True
sib200_mt5,sib200,mt5,f1_score,single_script,individual,hrl,7,27.714285714285715,0.15836734693877544,1.0,0.42857142857142855,0.008976546799319715,True
sib200_mt5,sib200,mt5,f1_score,single_script,individual,lrl,136,29.191176470588236,0.1667362967914438,0.8382352941176471,0.2647058823529412,0.029113851953834136,True
sib200_mt5,sib200,mt5,f1_score,single_script,individual,mrl,42,29.285714285714285,0.16734693877551016,1.0,0.2619047619047619,0.013233576633489449,True
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,hrl,7,119.0,0.6799999999999999,0.8571428571428571,0.42857142857142855,0.01666358915266151,True
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,lrl,136,124.13235294117646,0.7090622612681436,0.9558823529411765,0.7205882352941176,0.00918498808625964,True
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,mrl,42,123.16666666666667,0.7038095238095238,1.0,0.7380952380952381,0.0023608168335326023,True
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,hrl,7,47.142857142857146,0.26938775510204077,0.8571428571428571,0.2857142857142857,0.03567433365134463,True
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,lrl,136,42.61764705882353,0.24344084224598928,0.9338235294117647,0.47058823529411764,0.014608256770412493,True
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,mrl,42,42.166666666666664,0.24095238095238095,1.0,0.42857142857142855,0.006328655356975122,True
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,hrl,7,32.0,0.18285714285714283,1.0,0.5714285714285714,0.003950723838908729,True
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,lrl,136,30.66176470588235,0.17513392857142854,0.9044117647058824,0.47058823529411764,0.018643680745382057,True
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,mrl,42,31.976190476190474,0.1827210884353741,1.0,0.2857142857142857,0.008623846898460694,True
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,hrl,7,124.57142857142857,0.7118367346938775,1.0,0.8571428571428571,0.00021764313895944286,True
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,lrl,136,131.5808823529412,0.7515973548510314,0.9485294117647058,0.7426470588235294,0.007919089292288213,True
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,mrl,42,129.52380952380952,0.7401360544217687,1.0,0.8095238095238095,0.001762590640384881,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,hrl,7,93.71428571428571,0.5355102040816326,1.0,0.5714285714285714,0.0034952763653459855,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,lrl,136,101.70588235294117,0.5809642379679145,0.9338235294117647,0.6544117647058824,0.011021893622402934,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,mrl,42,95.73809523809524,0.5470748299319729,1.0,0.6666666666666666,0.002783654589228519,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,hrl,7,108.85714285714286,0.6220408163265306,1.0,0.8571428571428571,0.00021764313895944286,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,lrl,136,107.73529411764706,0.6153974885408708,0.9558823529411765,0.6985294117647058,0.006576120968668427,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,mrl,42,107.21428571428571,0.6126530612244898,1.0,0.7142857142857143,0.0029189811042939,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,hrl,7,130.85714285714286,0.7477551020408163,0.8571428571428571,0.5714285714285714,0.016989057143515444,True
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,lrl,136,140.11764705882354,0.800340909090909,0.9191176470588235,0.7205882352941176,0.010218509000359834,True
