dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_script,performance_loss_pct,-2.771058159917461,-11.225145985934153,5.222171781941967,0.5192,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,mlp_listnet,performance_loss_pct,-1.6093078494532917,-5.846034534883656,2.274863185399265,0.4476,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,rrf_equal,performance_loss_pct,-6.7644359574928785,-16.329079391307797,0.8149245299352323,0.0936,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_distals_asjp,performance_loss_pct,-9.438078744439757,-15.907750045413273,-3.5162745846504304,0.0006,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_distals_wiki_size,performance_loss_pct,-19.005363122852554,-28.650136818497877,-10.274279476722981,0.0,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_new_gen,performance_loss_pct,-6.068397592127622,-10.491735955932592,-1.9979340449147023,0.0021,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_new_geo,performance_loss_pct,-4.043839735575148,-9.426346961779773,0.7963351886387237,0.1072,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_new_typ,performance_loss_pct,-14.796852128075,-25.169183815494208,-5.464584179059044,0.0008,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,single_script,performance_loss_pct,-14.515113182807397,-23.979232538354445,-6.377763477985116,0.0,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,rrf_equal,performance_loss_pct,-5.155128108039586,-15.242767808769477,3.238739090541307,0.2708,19
