dataset,task,model,model_name,metric,metric_name,outcome,outcome_name,paradigm,expected_methods,observed_methods,missing_methods,n_targets_any_paradigm_method,n_complete_targets,complete_target_fraction
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,raw_oracle_gap_points,Raw gap,Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,raw_oracle_gap_points,Raw gap,Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
