model,model_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,weighting,cross_task_comparability,included_setups,comparison,method_a,method_b,mean_difference_a_minus_b,bootstrap_p_value,setup_weighting,setup_definition,bootstrap_p_value_vs_zero
mt5,mT5,Wikipedia size,Individual,performance_loss_pct,PL (%),28.17915951889505,14.5921853144634,43.13395368227464,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Wikipedia size - __zero_baseline__,Wikipedia size,__zero_baseline__,28.17915951889505,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,ASJP,Individual,performance_loss_pct,PL (%),28.13222351027316,16.289103921335613,41.44602340736642,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,ASJP - __zero_baseline__,ASJP,__zero_baseline__,28.13222351027316,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Always English,English,performance_loss_pct,PL (%),26.50570278240825,15.90632369143238,37.51118489981823,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Always English - __zero_baseline__,Always English,__zero_baseline__,26.50570278240825,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Composite-Equal,Composite,performance_loss_pct,PL (%),22.749317046552285,12.775843989922857,34.16355722849118,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Composite-Equal - __zero_baseline__,Composite-Equal,__zero_baseline__,22.749317046552285,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Composite-RRF,Composite,performance_loss_pct,PL (%),22.935497700441758,12.365122321849492,34.41661279202856,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Composite-RRF - __zero_baseline__,Composite-RRF,__zero_baseline__,22.935497700441758,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Genetic,Individual,performance_loss_pct,PL (%),29.383750944081804,17.508871818634564,42.546212772358274,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Genetic - __zero_baseline__,Genetic,__zero_baseline__,29.383750944081804,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Geographic,Individual,performance_loss_pct,PL (%),27.767168017242554,16.87912432945349,39.2016218884692,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Geographic - __zero_baseline__,Geographic,__zero_baseline__,27.767168017242554,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,LightGBM,Trained,performance_loss_pct,PL (%),23.28534552252094,12.238635298894257,35.590182923069015,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,LightGBM - __zero_baseline__,LightGBM,__zero_baseline__,23.28534552252094,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,MLP,Trained,performance_loss_pct,PL (%),24.078792575744174,13.831225467532189,35.21150867447281,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,MLP - __zero_baseline__,MLP,__zero_baseline__,24.078792575744174,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Script,Individual,performance_loss_pct,PL (%),31.483077570119367,18.84808331971488,44.59552841598692,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Script - __zero_baseline__,Script,__zero_baseline__,31.483077570119367,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Typological,Individual,performance_loss_pct,PL (%),25.907883922352607,14.959249204294498,36.92302715701103,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Typological - __zero_baseline__,Typological,__zero_baseline__,25.907883922352607,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,Wikipedia size,Individual,performance_loss_pct,PL (%),33.46026557696571,19.81756675972889,47.02617118302561,8,1421,9,145.5,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Wikipedia size - __zero_baseline__,Wikipedia size,__zero_baseline__,33.46026557696571,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,ASJP,Individual,raw_oracle_gap_points,Raw gap,10.852221974986076,8.525781012340122,13.394374504783563,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,ASJP - __zero_baseline__,ASJP,__zero_baseline__,10.852221974986076,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Always English,English,raw_oracle_gap_points,Raw gap,8.823582752543032,5.588753780628153,11.772061664723216,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Always English - __zero_baseline__,Always English,__zero_baseline__,8.823582752543032,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,8.436522869650176,5.870891723026084,11.088726467490991,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-Equal - __zero_baseline__,Composite-Equal,__zero_baseline__,8.436522869650176,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,8.17648135493382,5.644413103745088,10.68159912659367,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-RRF - __zero_baseline__,Composite-RRF,__zero_baseline__,8.17648135493382,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Genetic,Individual,raw_oracle_gap_points,Raw gap,10.21838104331206,6.870072422744669,13.21741286163584,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Genetic - __zero_baseline__,Genetic,__zero_baseline__,10.21838104331206,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Geographic,Individual,raw_oracle_gap_points,Raw gap,10.35708030794611,7.0429052154827065,13.299871894640104,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,task-metric points; cross-task averages are secondary descriptive results,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Geographic - __zero_baseline__,Geographic,__zero_baseline__,10.35708030794611,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
