dataset,task,model,model_name,metric,metric_name,comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-1.5947457972346026,-2.572036356156414,-0.5394203230644979,0.004099795010249488,15,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.005799710014499275,scale-free; suitable for cross-task aggregation
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,19.948598147225525,6.754791067953396,34.7522624721076,0.001399930003499825,12,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.00279986000699965,scale-free; suitable for cross-task aggregation
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,21.585145860106596,6.024483175804489,38.66165281221149,0.004499775011249437,12,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.004499775011249437,scale-free; suitable for cross-task aggregation
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,3.137565917184705,-0.8062576580217078,6.4184258461424415,0.10999450027498625,12,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.2199890005499725,scale-free; suitable for cross-task aggregation
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-2.488122248763851,-13.258424678557398,4.270150885556667,0.703664816759162,12,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.703664816759162,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.5106117168484614,-4.610395923857558,-0.20432599829543271,0.032698365081745916,185,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.06539673016349183,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-2.405542377048727,-4.52205625852952,-0.10785997963861847,0.04129793510324484,185,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.06539673016349183,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,8.085619947179064,5.706080251176618,10.650566357044779,9.99950002499875e-05,185,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,7.010144161850842,4.8336095221364594,9.349910533418816,9.99950002499875e-05,185,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-4.136718317846586,-4.807396663224273,-3.4346011448170883,9.99950002499875e-05,762,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-0.3107997954070951,-0.9162236532046406,0.32107914664998416,0.32018399080045995,762,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.32018399080045995,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-3.3502500811746967,-3.8487608820669834,-2.863449950452218,9.99950002499875e-05,762,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,0.7113701498636932,0.24881086199663607,1.1602324889624271,0.0030998450077496125,762,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.0030998450077496125,task-metric points; cross-task averages are secondary descriptive results
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.9996789565642348,-7.487755745664537,2.7758491329646655,0.46827658617069146,9,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.9365531723413829,task-metric points; cross-task averages are secondary descriptive results
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,2.569883440003119,-3.9317918431379226,10.794624372438115,0.5422728863556823,9,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.9365531723413829,task-metric points; cross-task averages are secondary descriptive results
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.6539005949105094,-8.105113039124756,4.049048436424778,0.3907804609769511,9,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.7815609219539023,task-metric points; cross-task averages are secondary descriptive results
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-2.0036719517746886,-8.328857135440462,6.450641835313303,0.5475726213689316,9,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.7815609219539023,task-metric points; cross-task averages are secondary descriptive results
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.624791846351132,-4.633428474797349,-0.5415897381157222,0.013299335033248337,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.013299335033248337,task-metric points; cross-task averages are secondary descriptive results
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-4.1669194845457564,-5.961431967310451,-2.295956298427151,9.99950002499875e-05,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-0.7446213289375266,-2.32318874693345,0.8783966884188561,0.3544822758862057,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.7089645517724114,task-metric points; cross-task averages are secondary descriptive results
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,0.08995651521386336,-1.4206023461025223,1.6430043549892543,0.9016549172541373,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.9016549172541373,task-metric points; cross-task averages are secondary descriptive results
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.6732284720248995,-4.5166926566926415,-0.7450511070608211,0.007699615019249037,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.007699615019249037,task-metric points; cross-task averages are secondary descriptive results
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-5.177358516550496,-6.578260847514907,-3.798208725888841,9.99950002499875e-05,147,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.7827659819743462,-3.218431898603679,-0.32305514796468804,0.015899205039748013,144,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.03179841007949603,task-metric points; cross-task averages are secondary descriptive results
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.3195066503807789,-2.869907777389207,0.3093141632627844,0.10859457027148643,144,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.10859457027148643,task-metric points; cross-task averages are secondary descriptive results
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-5.460238657917283,-7.542817261241399,-3.459347905601754,9.99950002499875e-05,144,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-5.449445138133828,-7.482917785761654,-3.378944714418566,9.99950002499875e-05,144,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,task-metric points; cross-task averages are secondary descriptive results
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,1.6980000000000008,0.005983333333334208,4.2733333333333325,0.0487975601219939,15,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.0487975601219939,task-metric points; cross-task averages are secondary descriptive results
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,4.048666666666667,0.48861666666666703,9.07206666666666,0.006299685015749213,15,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.012599370031498426,task-metric points; cross-task averages are secondary descriptive results
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.2122140828900974,-1.9052181160601966,-0.4431453766418304,0.0026998650067496625,15,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.005399730013499325,task-metric points; cross-task averages are secondary descriptive results
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.1873590946888928,-1.9320076572001919,-0.3968020550247672,0.004599770011499425,15,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.005399730013499325,task-metric points; cross-task averages are secondary descriptive results
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,6.766977121921165,2.1405769770915444,12.489933684442857,0.0015999200039998,12,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.0031998400079996,task-metric points; cross-task averages are secondary descriptive results
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,7.611423555693942,1.9049189562437703,14.465987930461324,0.004999750012499375,12,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.004999750012499375,task-metric points; cross-task averages are secondary descriptive results
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,0.9328614346256597,-0.42669597021439826,2.12033904431063,0.16429178541072947,12,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.32858357082145895,task-metric points; cross-task averages are secondary descriptive results
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.1408380298404428,-5.012773955327281,1.2438134052435617,0.6457677116144193,12,Raw gap,Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.6457677116144193,task-metric points; cross-task averages are secondary descriptive results
