dataset,task,model,metric,method,method_group,outcome,mean,ci_lower,ci_upper,n_units
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,predicted_performance_points,48.16231703464702,43.61457501416648,52.601839149581785,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,performance_loss_pct,23.85584549052685,19.794057992955803,28.15456776983755,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,raw_oracle_gap_points,12.19453439613044,10.233310711359115,14.340683678611207,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_gen,individual,predicted_performance_points,56.45080994491743,51.9877084101118,60.717797428577924,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,performance_loss_pct,31.395053426469747,26.57103366638545,36.36045982866419,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,raw_oracle_gap_points,17.736680575958918,14.80543364554972,20.826630135667653,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_geo,individual,predicted_performance_points,50.90866376508895,46.186120029958325,55.49020932113777,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,performance_loss_pct,27.622527307132998,23.214681413576113,32.25623139856258,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,raw_oracle_gap_points,15.175807533688417,12.687222123543448,17.87715918482869,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_new_typ,individual,predicted_performance_points,53.469536807359454,48.913231874945666,57.87821774834196,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,performance_loss_pct,26.94486762347889,22.895193120171644,31.203975452053125,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,raw_oracle_gap_points,17.225103861709357,14.230592779681201,20.444489584915424,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_script,individual,predicted_performance_points,51.42024047933851,47.283589642474276,55.42494098410011,185
taxi1500_mt5,taxi1500,mt5,f1_score,always_eng,baseline,performance_loss_pct,57.273764399698685,55.863999522424436,58.632601719872035,762
taxi1500_mt5,taxi1500,mt5,f1_score,always_eng,baseline,raw_oracle_gap_points,13.228464323854544,12.91419065532655,13.536532908209644,762
taxi1500_mt5,taxi1500,mt5,f1_score,always_eng,baseline,actual_best_performance_points,26.33206824455375,25.426110773924712,27.28121215642911,762
taxi1500_mt5,taxi1500,mt5,f1_score,always_eng,baseline,predicted_performance_points,13.103603920699207,12.122472420513816,14.150520857703343,762
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,performance_loss_pct,34.67913339702634,33.12716516741998,36.23053675632789,762
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,raw_oracle_gap_points,9.030177033699488,8.456275907315124,9.63486041631181,762
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,composite_equal,composite,predicted_performance_points,17.24032223854579,16.41648775686143,18.09315531853804,762
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,performance_loss_pct,18.85499971491026,17.55267942868102,20.155980252195207,762
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,raw_oracle_gap_points,5.315195445378028,4.803015337835749,5.862544189373463,762
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,lightgbm_lambdarank,trained,predicted_performance_points,20.955303826867254,20.198299458212606,21.744060412288967,762
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,performance_loss_pct,35.19863418123534,33.551315185688,36.89659728488385,762
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,raw_oracle_gap_points,9.612760951176975,8.93050607723429,10.313319055164445,762
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,mlp_listnet,trained,predicted_performance_points,16.657738321068305,15.8956789646357,17.45085971929424,762
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,performance_loss_pct,35.85514089370435,34.24483447854544,37.4760752495323,762
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,raw_oracle_gap_points,9.255810746990637,8.690884161794754,9.859504832758187,762
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,rrf_equal,composite,predicted_performance_points,17.014688525254645,16.171568642034064,17.882244893756226,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,performance_loss_pct,55.61386762035412,53.90367624104566,57.3018114639169,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,raw_oracle_gap_points,13.39935125206031,12.888302214201456,13.920952609475734,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,actual_best_performance_points,26.270499272245285,25.3740258102538,27.202361130952493,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_asjp,individual,predicted_performance_points,12.871148020184972,11.954865916491089,13.843908679353365,762
taxi1500_mt5,taxi1500,mt5,f1_score,single_distals_wiki_size,individual,performance_loss_pct,53.74405972329548,52.37080800785143,55.05147861636896,762
