model,method,method_type,resource,n_dataset_cells,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl
mT5,Composite-RRF,Composite,LRL,4,707,25.16750629722922,0.807743358887898,0.9118387909319899,0.8438287153652393,0.012261484090927408
mT5,Composite-RRF,Composite,MRL,4,29,21.770642201834864,0.5530832937115778,0.981651376146789,0.7431192660550459,0.007896906065283957
mT5,Genetic,Individual,HRL,4,7,31.652173913043477,0.7260015714068099,1.0,0.9565217391304348,0.00026442903735799566
mT5,Genetic,Individual,LRL,4,707,22.317380352644836,0.6953265651251902,0.906801007556675,0.8400503778337531,0.013359408986056883
mT5,Genetic,Individual,MRL,4,29,27.357798165137616,0.6402379487826837,0.981651376146789,0.8348623853211009,0.0034239298226468036
mT5,Geographic,Individual,HRL,4,7,32.95652173913044,0.7670405691792057,1.0,0.9130434782608695,0.0007981163808361653
mT5,Geographic,Individual,LRL,4,707,28.324937027707808,0.889448406128499,0.9282115869017632,0.8816120906801007,0.009712366475913182
mT5,Geographic,Individual,MRL,4,29,29.743119266055047,0.690147112874617,0.926605504587156,0.7522935779816514,0.011756385243426464
mT5,LightGBM,Trained,HRL,4,7,22.043478260869566,0.5073463123908489,1.0,0.8260869565217391,0.0038938996021880305
mT5,LightGBM,Trained,LRL,4,707,12.130982367758186,0.37272725681862934,0.9206549118387909,0.8513853904282116,0.012613330698615458
mT5,LightGBM,Trained,MRL,4,29,19.458715596330276,0.46294265998875095,0.9174311926605505,0.6697247706422018,0.012443719683877558
mT5,MLP,Trained,HRL,4,7,28.434782608695652,0.6185897259492815,0.9565217391304348,0.8260869565217391,0.0077760470197705
mT5,MLP,Trained,LRL,4,707,15.367758186397985,0.4611332312104235,0.9080604534005038,0.8551637279596978,0.012215704996629245
mT5,MLP,Trained,MRL,4,29,25.486238532110093,0.5668116565385721,0.9357798165137615,0.7431192660550459,0.010593585810131059
mT5,NNRank,NNRank,HRL,4,7,24.82608695652174,0.6429121145454155,0.9565217391304348,0.782608695652174,0.007032266468712754
mT5,NNRank,NNRank,LRL,4,707,28.232997481108313,0.9052359243700584,0.9130982367758187,0.8564231738035264,0.012632251279407043
mT5,NNRank,NNRank,MRL,4,29,23.926605504587155,0.6063918033634577,0.9908256880733946,0.8623853211009175,0.004336407672836764
mT5,Script,Individual,HRL,4,7,17.47826086956522,0.4536161930597066,0.9565217391304348,0.6086956521739131,0.010660170792311128
mT5,Script,Individual,LRL,4,707,16.258186397984886,0.5155123013320226,0.906801007556675,0.8375314861460957,0.012537701492155938
mT5,Script,Individual,MRL,4,29,18.73394495412844,0.4757807595491226,0.9724770642201835,0.6146788990825688,0.011538905689200633
mT5,Typological,Individual,HRL,4,7,25.391304347826086,0.6478647040116305,0.9565217391304348,0.5652173913043478,0.01268260306348929
mT5,Typological,Individual,LRL,4,707,25.573047858942065,0.8217316231753388,0.9105793450881612,0.8564231738035264,0.0126098132944037
mT5,Typological,Individual,MRL,4,29,23.440366972477065,0.6110996572324796,0.963302752293578,0.7064220183486238,0.00884030833828076
mT5,Wikipedia size,Individual,HRL,4,7,25.956521739130434,0.6656393872726882,1.0,0.782608695652174,0.003770326781913165
mT5,Wikipedia size,Individual,LRL,4,707,28.515113350125944,0.9108956159266012,0.9080604534005038,0.8501259445843828,0.013481042239811399
mT5,Wikipedia size,Individual,MRL,4,29,26.01834862385321,0.6511287838802547,0.981651376146789,0.7798165137614679,0.005868524897090811
