dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),10.121017069442082,4.926406880128896,15.607714010488502,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,4.598264969311608,2.293440009592487,6.919691852394897,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),14.901906076480724,8.086330421238921,22.050794339354457,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,7.802498083864886,4.031405183244387,11.829613348286317,10
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,performance_loss_pct,PL (%),22.509490513953526,15.785134373786534,29.493449288596956,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,raw_oracle_gap_points,Raw gap,1.9576617717366174,1.300774065763834,2.6540848819275493,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,performance_loss_pct,PL (%),22.41282976818171,15.252032232408348,30.059574703946375,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,2.32985849142302,1.3378610000892839,3.507184110755997,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,performance_loss_pct,PL (%),25.681238477823047,18.077593889026463,33.56973010352623,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,2.5513221037238507,1.4815010174713676,3.797612251393467,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,performance_loss_pct,PL (%),20.803432985242512,14.231298257539,27.74263553673796,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,raw_oracle_gap_points,Raw gap,2.1106896693441333,1.2713013568609557,3.100638627527755,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,performance_loss_pct,PL (%),23.301501825454896,15.348834576329471,31.581216415310262,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,raw_oracle_gap_points,Raw gap,2.3972222240525327,1.2978907152368349,3.6640125489994064,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,performance_loss_pct,PL (%),19.065022336092,12.044403196138326,26.59253426037304,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,raw_oracle_gap_points,Raw gap,1.6648281739157011,0.9037094015097014,2.540776574024427,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,performance_loss_pct,PL (%),15.584982931822855,9.597646015939834,22.093473384144684,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,raw_oracle_gap_points,Raw gap,1.17045799954937,0.6708078045984616,1.7380850410308852,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,NNRank,NNRank,performance_loss_pct,PL (%),15.025313711046568,9.488991927525657,21.193534008191474,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,NNRank,NNRank,raw_oracle_gap_points,Raw gap,1.5939015830311736,0.8210322512460503,2.5637905175642373,46
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,performance_loss_pct,PL (%),28.266137020556155,19.90113025848605,36.86392833147353,46
