dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,raw_oracle_gap_points,Raw gap,1.8943192862989844,1.269518412643586,2.613211069767869,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,performance_loss_pct,PL (%),18.453206852619168,13.438765246114814,23.73319123002519,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,raw_oracle_gap_points,Raw gap,2.0991253225741024,1.3940460103831458,2.885227687064748,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,performance_loss_pct,PL (%),38.90906362498874,32.51108837037208,45.2275690120274,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,raw_oracle_gap_points,Raw gap,5.07004755775452,3.8054141075786916,6.44739522230584,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,performance_loss_pct,PL (%),33.08740545759166,27.08835846974333,39.2209593122369,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,raw_oracle_gap_points,Raw gap,3.736897291084318,2.8339717250336185,4.752354654590205,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,performance_loss_pct,PL (%),63.497856211216394,58.18677593466004,68.59452539976064,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,7.983246323180873,6.64815340911597,9.363982092702033,87
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),15.807374467461107,13.14985039179376,18.737657836011735,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,11.21750622097845,9.278481908590056,13.417096141925526,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),15.891861801232862,13.25699052554109,18.744047802627158,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,11.360488714509001,9.340229783104137,13.620851494346999,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),15.228708710659115,12.744303843061708,17.951688467913673,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,10.788020867450562,8.952439897836664,12.813681272612037,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),17.407030485080764,14.645797143550935,20.381609120126406,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,12.642565668544648,10.507708389086243,14.931779853629207,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),14.735394997913229,12.396555560509546,17.275576603817232,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,10.314991934135984,8.609023126187976,12.196304288701347,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),16.637389634886308,13.92195406277413,19.57193570781293,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,11.509671254947477,9.636071352243716,13.585411495765785,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),14.759411544863223,12.205576027638225,17.61905475018121,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,10.228085057251581,8.462231844833727,12.177945143935794,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),13.000970456502964,10.819310854289032,15.433783493103215,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,8.860308032511588,7.358362044723902,10.545395787287488,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),17.36471419005596,14.6672747582947,20.2546050079169,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,12.2875354832989,10.365867711921666,14.368551056574933,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),18.344714263838313,15.63703756992778,21.250445647802547,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,13.041472900985811,11.020917985160086,15.231554051166295,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),28.487811458855198,23.83040593330371,33.29193739799881,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,15.722717334800882,13.020043177332916,18.629632317163956,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),27.879051075105767,23.235964157050084,32.68204826889269,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,14.756310688952832,12.200570828633513,17.452521440185116,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),28.926736089134323,24.198192150948334,33.88114007674018,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,15.400443070042034,12.8226150864449,18.186795371798905,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),23.85584549052685,19.794057992955803,28.15456776983755,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,12.19453439613044,10.233310711359115,14.340683678611207,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),31.395053426469747,26.57103366638545,36.36045982866419,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,17.736680575958918,14.80543364554972,20.826630135667653,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),24.918718244881934,20.52785783157401,29.512055585050227,185
