dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,-0.8302556224741761,-6.642827090642034,5.203656036950873,0.7428628568571571,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,-5.247886732504493,-9.242995737339893,-1.5339907284162693,0.0031998400079996,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,0.4711794680034366,-2.7519682000631724,3.192162105929161,0.7023648817559122,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,-1.3727854810063964,-3.9470686441821288,1.1232462806214667,0.280085995700215,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,-1.4251179920988701,-4.2424984260442775,1.2014976821693362,0.3010849457527124,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,NNRank,performance_loss_pct,-6.981314225301807,-14.725642023965952,-0.10260008213328653,0.04739763011849408,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,-8.238883348807832,-18.05304615364489,1.2902704980999655,0.09009549522523874,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-4.338640569668982,-11.23986209836685,1.709034439649873,0.1817909104544773,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-9.119529576707624,-17.227223836150188,-2.2108756150510795,0.0034998250087495625,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,1.652746140196984,0.0,4.958238420590952,0.7100644967751613,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,-2.764884969833332,-11.603406263635938,5.0898019594034665,0.5372731363431829,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,2.954181230674597,-4.589354368766362,9.825294742191629,0.42907854607269635,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,1.1102162816647643,-6.568741634592054,8.292202997499725,0.7577621118944052,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,1.0578837705722903,-6.915971221730101,8.480853053972243,0.7753612319384031,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,NNRank,performance_loss_pct,-4.498312462630649,-13.806168260708475,4.222802838413655,0.33338333083345834,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,-5.755881586136671,-14.35260334671825,0.6945149229727331,0.09179541022948852,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,-1.8556388069978222,-8.767927285873288,4.1953752521937515,0.5715714214289286,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-6.636527814036464,-13.456114509424086,-0.2439738159918175,0.040897955102244886,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Genetic,performance_loss_pct,-4.417631110030316,-13.256132025014727,3.9623295583343525,0.31788410579471027,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Geographic,performance_loss_pct,1.3014350904776126,-5.553528643096407,7.823397500241519,0.6877656117194141,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,-0.5425298585322201,-7.457591446546785,6.055463069650882,0.8989550522473876,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,-0.5948623696246937,-7.697912643420238,6.162156580455987,0.8778561071946402,10
