dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
sib200_xlm-r,sib200,XLM-R,F1/LAS,NNRank,NNRank,HRL,6,29.833333333333332,0.43872549019607837,0.8333333333333334,0.6666666666666666,0.03925620120788945,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,NNRank,NNRank,LRL,39,30.71794871794872,0.45086016569392523,0.9487179487179487,0.7435897435897436,0.009901370770687685,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,NNRank,NNRank,MRL,29,30.20689655172414,0.44421906693711966,1.0,0.7241379310344828,0.002420854250867569,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Script,Individual,HRL,6,40.166666666666664,0.5906862745098039,1.0,0.6666666666666666,0.0014034777420775001,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Script,Individual,LRL,39,39.53846153846154,0.5803823201521411,0.9230769230769231,0.717948717948718,0.015287693863977644,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Script,Individual,MRL,29,39.310344827586206,0.5780933062880325,1.0,0.5517241379310345,0.005584042775928211,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Typological,Individual,HRL,6,43.5,0.6397058823529411,1.0,0.8333333333333334,0.0004599926218369667,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Typological,Individual,LRL,39,44.717948717948715,0.6563545150501672,0.9487179487179487,0.8717948717948718,0.00405172546001507,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Typological,Individual,MRL,29,44.58620689655172,0.6556795131845842,1.0,0.7931034482758621,0.0011828581231719379,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Wikipedia size,Individual,HRL,6,50.333333333333336,0.7401960784313726,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,39,36.38461538461539,0.5341005967604433,0.9230769230769231,0.717948717948718,0.00953207842342768,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Wikipedia size,Individual,MRL,29,35.62068965517241,0.5238336713995944,1.0,0.8275862068965517,0.0030040827777912133,True
