dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,LightGBM,performance_loss_pct,38.341069807121364,36.316200755640175,40.32223270510381,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,MLP,performance_loss_pct,21.997435340796283,19.629335577624584,24.306641645492764,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Script,performance_loss_pct,7.270755055418434,5.800535583945914,8.731353934738951,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Typological,performance_loss_pct,2.901089751504936,1.2312034514275,4.554948493026283,0.0004,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Wikipedia size,performance_loss_pct,3.4520097987361535,2.1440693608797217,4.750696145389938,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,-1.1760074966780087,-2.3518004529851892,-0.01921189319380037,0.0469,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,-23.732480937935748,-25.85196644633902,-21.588397856221196,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,-13.62929493488345,-15.525604061195908,-11.793713892657596,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,15.824133682116083,13.948337797638041,17.732162195886612,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,-0.5195007842089968,-2.524281425136861,1.3966328622695738,0.6018,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,-15.246181069586846,-17.118534097654877,-13.323124294902897,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,-19.615846373500347,-21.665600297934457,-17.591278158765157,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-19.064926326269127,-20.946999885442544,-17.092673474133647,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Genetic,performance_loss_pct,-22.55647344125774,-24.746085420584297,-20.32270513604596,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Geographic,performance_loss_pct,-12.453287438205441,-14.404988679079066,-10.525515515829941,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,17.00014117879409,15.106519523745241,18.93097969549596,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,0.6565067124690118,-1.4535151077038406,2.753015399743626,0.5385,762
