dataset,task,model,model_name,metric,metric_name,comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.5106117168484614,-4.64525866325296,-0.18918397278235036,0.03529823508824559,185,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.04039798010099495
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-2.3614291764099864,-4.190185931189245,-0.38602086177946077,0.020198990050497474,185,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.04039798010099495
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,8.085619947179064,5.698542073606299,10.66368444868488,9.99950002499875e-05,185,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,10.075887195831669,6.669583284656664,13.701547438970996,9.99950002499875e-05,185,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-4.136718317846586,-4.812303641216533,-3.4344737940015158,9.99950002499875e-05,762,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-7.851699906168046,-8.488809776773108,-7.2009236291754535,9.99950002499875e-05,762,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-3.3502500811746967,-3.849272042792979,-2.852630172041959,9.99950002499875e-05,762,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-7.448668065080554,-7.930098527060965,-6.9518223496068785,9.99950002499875e-05,762,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.9996789565642348,-7.508284601077518,2.745387038482793,0.48137593120343986,9,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.8981550922453877
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.8032185804897038,-6.420941485730751,2.737484491713067,0.44907754612269385,9,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.8981550922453877
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.6539005949105094,-8.10290466483813,4.040128563439316,0.3849807509624519,9,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.7699615019249038
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,1.618497808201742,-6.401506984944185,11.88193026762916,0.7592620368981551,9,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.7699615019249038
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.624791846351132,-4.639199319473385,-0.5322200624750286,0.015299235038248088,147,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.015299235038248088
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-4.0513394357450645,-6.0067541473952115,-2.092002110602975,0.00039998000099995,147,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.0007999600019999
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-0.7446213289375266,-2.334713369714173,0.8526721288574172,0.3647817609119544,147,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.3647817609119544
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.9150978239886396,-3.3341562944017946,-0.41052416631303784,0.013699315034248288,147,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.027398630068496577
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.6732284720248995,-4.514979608890635,-0.7645085534961734,0.00759962001899905,147,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.0151992400379981
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-2.097981803717214,-3.801175282565933,-0.35784850423909736,0.017899105044747763,147,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.017899105044747763
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.7827659819743462,-3.2258143371154957,-0.30872859784627327,0.019099045047747613,144,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.03819809009549523
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.482463786483458,-3.1206002641172375,0.28813499340258486,0.09929503524823759,144,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.09929503524823759
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-5.460238657917283,-7.459954936404037,-3.4746180166082863,9.99950002499875e-05,144,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-5.086138202081106,-7.062150649620696,-3.016570219397378,9.99950002499875e-05,144,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,1.6980000000000008,0.01398333333333549,4.2500166666666646,0.04669766511674416,15,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.09339533023348832
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,1.6093333333333335,-0.7646833333333328,5.446666666666668,0.4300784960751962,15,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.4300784960751962
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-1.2122140828900974,-1.9098933446390094,-0.44731789305614095,0.0026998650067496625,15,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.004599770011499425
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-1.162401049275971,-1.7974163725817212,-0.424765132743717,0.0022998850057497125,15,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.004599770011499425
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,6.766977121921165,2.1448569451083435,12.402340453068913,0.00199990000499975,12,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.0039998000099995
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,0.08772000637983919,-2.9107094138489544,3.4747178665668734,0.9910504474776262,12,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.9910504474776262
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,0.9328614346256597,-0.4364622491516686,2.103873257210967,0.1641917904104795,12,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.1641917904104795
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-7.484334467678859,-13.20464064591046,-2.0304774955624914,0.004699765011749413,12,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.009399530023498826
